"","SampleID","Akashiwo","Amylax","Azadinium","Bispinodinium","Blastodinium","Gloeodinium","Gymnodinium","Gyrodiniellum","Gyrodinium","Herdmania","Heterocapsa","Islandinium","Madanidinium","Nusuttodinium","Parvodinium","Paulsenella","Pelagodinium","Pentapharsodinium","Polarella","Polykrikos","Prorocentrum","Proterythropsis","Protoperidinium","Sabulodinium","Sinophysis","Stoeckeria","Thecadinium","Tintinnophagus","Unclassified Eukaryota"
"11","Ev32Core_B",0,0,0,0,0.00782148608235565,0.00115021854152289,0.0131124913733609,0.0197070776780922,0.0828924162257496,0.00506096158270071,0.0233877770109654,0,0.0120389540679396,0,0.0318993942182348,0,0.00667126754083276,0.617513994325589,0.0502262096464995,0.00122689977762442,0.0484625412161644,0.00437083045778698,0,0,0,0.00659458630473123,0,0,0.0678628939498505
"12","Ev32Core_C",0,0.000312151616499443,0,0,0.00222965440356745,0,0.00593088071348941,0.00923076923076923,0.0302341137123746,0,0.0176142697881828,0.00700111482720178,0.0125306577480491,0,0.00481605351170569,0,0.0111482720178372,0.764503901895206,0.0895429208472687,0.00240802675585284,0.0128874024526198,0.00151616499442586,0,0.00673355629877369,0,0.00316610925306577,0,0.000624303232998885,0.0175696767001115
"13","Ev37Core_A",0,0,0,5.44862626510291e-05,0,0,0.0046858185879885,0.00182528979880948,0.0180621960688161,0,0.183264544426736,0,0.00074918611145165,0,0,0,0,0.7782817757073,0.000980752727718524,0.000136215656627573,0.00662008091210004,0.000217945050604116,0,0,0.000326917575906175,0,0.00172993883917017,0,0.00306485227412039
"14","EvXCore_A",0,0,0,0,0,0,0.0045477513895907,0.00286339902307563,0.0320026949637864,0,0,0,0.00202122283981809,0,0.0043793161529392,0,0,0.93633148054573,0.00808489135927236,0,0,0.00724271517601482,0,0,0,0,0,0,0.00252652854977261
"15","Hero_1",0,0,0,0,0.0319994655621618,0,0.00768254392410983,0.0198410047431358,0.0357405304295544,0,0.0143630169015966,0.00100207094662302,0.00574520676063865,0,0.0257198209633242,0,0,0.618879016634378,0.00494355000334024,0.00200414189324604,0.087581000734852,0.000734852027523549,0,0,0,0.000868461487073285,0,0,0.142895316988443
"16","Hero_2",0,0,0,0,0,0,0,0,0.0174662040913985,0,0.438449575308051,0,0,0,0,0,0,0.123818638593133,0.179686565378634,0,0,0.106113171431989,0,0,0,0,0,0,0.134465845196794
"17","Hero_3",0,0,0,0,0,0,0.176157530601384,0,0,0,0.18626929217669,0,0,0,0.159925492283129,0,0,0.178818520489622,0.124800425758382,0,0.0404470463012241,0.133581692389569,0,0,0,0,0,0,0
"18","Station_B1_2",0,0,0.15278677347878,0,0.0052497017214931,0,0.000613601499914778,0.0268280211351628,0.0338503494119652,0,0.0292483381626044,0,0.0324186125788307,0,0.00971535708198398,0.000102266916652463,0,0.613396966081473,0.00756775183228226,0.00122720299982956,0.0308164308846088,0.0022157831941367,0,0.0125788307482529,0,0.00211351627748423,0,0,0.0392704959945458
"19","Station_B1_3",0,0,0,0,0.0010191948360795,0,0.000951248513674197,0.0225242058773569,0.0618990997112281,0,0.0265670120604722,0.000305758450823849,0.0396466791234924,0.00010191948360795,0.00801766604382538,0,0,0.752403601155087,0.00760998810939358,0.00193647018855104,0.0320027178528962,0.0010871411584848,0,0.00760998810939358,0,0.0016307117377272,0.000679463224052998,0,0.0340071343638526
"20","Station_B1_4",0,0.000785854616895874,0,0,0.0273084479371316,0,0.00451866404715128,0.0445972495088409,0.00255402750491159,0,0.0119842829076621,0.00510805500982318,0.00785854616895874,0,0.018860510805501,0,0.0214145383104126,0.390373280943026,0.00412573673870334,0.00157170923379175,0.119646365422397,0,0,0,0,0,0,0.00157170923379175,0.337721021611002
