"","SampleID","Apicomplexa","Apusomonadidae","Centroheliozoa","Cercozoa","Chlorophyta","Ciliophora","Conosa","Cryptophyta","Dinoflagellata","Discoba","Haptophyta","Hilomonadea","Lobosa","Metamonada","Ochrophyta","Opalozoa","Picozoa","Pseudofungi","Radiolaria","Rhodophyta","Sagenista","Streptophyta","Telonemia","Unclassified Eukaryota"
"14","EvXCore_A",0.000490453669644421,0.00140129619898406,0.00119110176913645,0.0840077071290944,0.00304781923279033,0.0121912769311613,0.00129619898406026,0.000175162024873008,0.255526361884743,0.00847784200385356,0.00893326326852338,0,0,0.00868803643370117,0.580171658784376,0.000560518479593624,0.000280259239796812,0.0102294622525836,0,0,0.00672622175512349,0,0.000385356454720617,0.0162200035032405
"15","Hero_1",0.000229502845835288,0,0,0.00986352230767661,0.0104959301495339,0.0504345253881148,0,0.0457679675227973,0.103347681511251,0.000173402150186662,0.0318039943695302,0,3.06003794447051e-05,0.000270303351761562,0.67234643709582,0.0188192333584936,0.00255513168363288,0.0189365348130317,5.10006324078419e-05,0.00197372447418348,0.000703808727228218,0,0.00725228992839511,0.0249444093106755
"16","Hero_2",0,0,0,0.142073122840088,0.0231797832233742,0.0302878573672636,0,0.0193606660383286,0.0939659912032674,0.025202246308514,0.0151881087024819,0,0.00644046497015394,0.011251178133836,0.541136506440465,0.0117911561420044,0.00390747722274584,0.0238473923971096,0,0,0,0.00674481621112158,0.0295711592836946,0.0160520735155514
"17","Hero_3",0.0170734791956494,0,0,0.173871253319843,0.0247628683445049,0.0299228531680789,0,0.00786644745162514,0.116833185784748,0.0113570254205135,0.0230428734033135,0,0.0225116984950044,0.00665233337549007,0.505273808018212,0,0,0.00541292525610219,0,0,0,0,0.0179840647527507,0.0374351840141647
"18","Station_B1_2",0.00137016065022769,1.33025305847349e-05,0,0.0118392522204141,0.015603868375894,0.0178165226298216,0,0.0131872419863339,0.161834152917023,0.00028822149600259,0.072374634734681,0,0,0.000252748081109963,0.476523250606374,0.0146283494663468,0.00393311487621995,0.102159000713902,3.99075917542047e-05,0.00105089991619406,0.00149431760235189,0,0.0554094740622825,0.0501815795424816
"19","Station_B1_3",0.00100470957613815,8.97062121551917e-06,0,0.0152455707557748,0.0138551244673694,0.0180533751962323,0,0.013469387755102,0.164449428122898,0.000273603947073335,0.0473245122224714,0,4.03677954698363e-05,0.000385736712267324,0.504920385736712,0.0182013904462884,0.0037407490468715,0.0930836510428347,4.93384166853555e-05,0.00143081408387531,0.00153846153846154,0,0.0493249607535322,0.0535994617627271
"20","Station_B1_4",0,0,0,0.0145717237555397,0.00223382570574931,0.00550079580040767,0,0.00817340869835774,0.0309584308970007,0.000227371545049483,0.0212452780514657,0,0,0.0274162215635982,0.835757964984782,0.0149666322285204,0.0023016382718167,0.00719212097761786,0,0.000718015405419421,0.000406875396404338,0,0.00249310904659521,0.0258365876716755
"21","Station_B2_1",0.000637832584133155,0,0,0.0117999028064634,0.0100838294253432,0.0611104361559956,0,0.0395835864415016,0.0654537723241404,0.000744138014822014,0.0757957720811566,0,0.00129085165836472,0.000554306888591909,0.625280950066821,0.0252019803183088,0.00280190742315636,0.0382016158425465,0,0.00141234357915199,0.000979528611347345,0,0.0157407969870004,0.0233264487911554
"22","Station_B2_2",0,0,0,0.0270433386837881,0.0118780096308186,0.0734767255216693,1.28410914927769e-05,0.0331685393258427,0.111499197431782,0.000308186195826645,0.0562953451043339,0,0.000154093097913323,0.000359550561797753,0.594414125200642,0.0218940609951846,0.00219582664526485,0.0311011235955056,0,0.00145104333868379,0.000886035313001605,0,0.00995184590690209,0.0239101123595506
"23","Station_B2_3",0.000292315037659921,0,0,0.0107961687242397,0.00999717428796929,0.0612692318935194,0,0.0333531457969969,0.0970875678414483,2.92315037659921e-05,0.0274386382016779,0,0.000233852030127937,0.000311802706837249,0.669722982782644,0.0200235800797046,0.00244570248175467,0.0311315515107816,0,0.00108156563934171,0.000760019097915794,0,0.0099387112804373,0.0240867591031775
"24","Station_B3_1",0.00015639106296162,0,0,0.00884320374201162,0.0117151123527614,0.0556112402522161,0,0.0550780889012106,0.117712709617339,6.39781621206628e-05,0.0326004279428177,0,0,0.000291456071883019,0.642155921889773,0.0177432769614638,0.00263021333162725,0.0173594079887398,2.84347387202946e-05,0.00255201780014644,0.000540260035685597,7.10868468007365e-06,0.00688120677031129,0.0280295436935304
"25","Station_B3_2",0,0,0,0.00787726576327627,0.0112352476161827,0.0463261579790546,0,0.0599119928922717,0.0711612320995082,0.00016789909264532,0.0506285722280909,0,0,0.000475714095828407,0.682271954555312,0.0178322827980384,0.00237157468361515,0.0180491524593719,2.0987386580665e-05,0.00190285638331363,0.000601638415312397,0,0.00787726576327627,0.0212882057883212
"26","Station_B3_3",9.9965012245714e-06,0,0,0.00910681261558455,0.0136952066776628,0.0581496476233318,0,0.0678262608087169,0.109191782875993,0,0.0341780376868096,0,0,0.000349877542859999,0.619723096916079,0.0229419703103914,0.00318888389063828,0.0209826560703754,0,0.00318888389063828,0.000789723596741141,0,0.00756735142700055,0.0291098115659519
"27","Station_B4_1",0.000116158473345779,0,0,0.00947521261149139,0.00362580377515038,0.00601534951254926,0,0.0201700891931135,0.0397925741547397,2.48911014312383e-05,0.0449201410495748,0,0,0.000265505081933209,0.821572287907073,0.0179879693009749,0.0032441402198714,0.0114665007259905,0,0.000713544907695499,0.000481227961003941,0,0.00389130885708359,0.0162372951669778
"28","Station_B4_2",0,0,0,0.0111604266590307,0.00423079676426373,0.00873362445414847,0,0.022163361729544,0.0601832629393657,7.87457942587157e-05,0.0299949889040017,0,0,0.00029350705132794,0.801546281050898,0.0201660820388002,0.0034361801131076,0.0116901710931348,0,0.00121698045672561,0.000665759896914597,0,0.0040446703414704,0.0203951607130074
"29","Station_B4_3",6.07947084285784e-06,0,0,0.00978794805700112,0.00332547055104324,0.00637128544331501,0,0.0179952336948592,0.03746169933369,0,0.036519381353047,0,1.21589416857157e-05,0.000194543066971451,0.835738777296824,0.0179952336948592,0.00288166917951462,0.010432371966344,3.03973542142892e-05,0.000905841155585818,0.000510675550800058,0,0.00339842420115753,0.0164328096882447
"30","Station_B5_1",0,0,7.63236427748224e-06,0.0100670884819991,0.00198441471214538,0.00567847902244678,0,0.00776974683447692,0.0274078201204387,0,0.0284000274765114,0,0,0.0303310156387144,0.839384526144664,0.0145549186771586,0.00237366529029698,0.00568611138672427,3.81618213874112e-05,0.000641118599308508,0.000450309492371452,0,0.00215995909052747,0.0230650048465513
"31","Station_B5_2",2.46656265994117e-05,0,0,0.00974292250676763,0.00178825792845735,0.00616024024320308,0,0.00659188870869278,0.029142437827205,0.000135660946296764,0.0254364274306433,0,0,0.0276563338245904,0.846986785390549,0.0136030930695756,0.00215824232744853,0.00520444721247587,3.69984398991176e-05,0.000616640664985293,0.000400816432240441,0,0.00171426104865911,0.022599880371711
"32","Station_B5_3",5.37150684195684e-05,0,0,0.00964856916486497,0.00181288355916043,0.00546550821169108,0,0.00884284313857145,0.0280056937972525,0,0.0262800972242738,0,0,0.0314568869432097,0.836148898169659,0.0158526595673251,0.00264546711966374,0.0057743698551036,2.68575342097842e-05,0.000597580136167698,0.000496864382881008,0,0.00167859588811151,0.0252125102394349
