"","Chaetoceros_neogracilis","Corethron_inerme","Cryptophyceae","Dinoflagellata","Fragilariopsis_sublineata","Pentapharsodinium_dalei","Phaeocystis_antarctica","Polar-centric-Mediophyceae","Porosira_pseudodelicatula","Pseudopedinella_elastica","Raphid-pennate_X_sp.","Rhizosolenia_pungens","Stellarima_microtrias","Strombidiidae_M_X_sp.","Thalassiosira_tumida","Unclassified Eukaryota"
"Ev32Core_B",0.00345013320134512,0.0874761620543578,0.0408265762159172,0.0319392077795409,0.047988878051621,0.0586158706127262,0.0259851804405107,0.013116329174734,0.0343484780108599,0.00778827537012505,0.0298793181255732,0.227534101000102,0.0227170162898694,0.0211229674057036,0.0286564861048433,0.0346032346818453
"Ev32Core_C",0.00789534233967722,0.0776714985372909,0.0105183578213851,0.0242053709364625,0.174512704204056,0.112704204056142,0.0486211090293528,0.00816487525885021,0.0120237977845709,0.00470696512506985,0.0514413437202117,0.105374223449364,0.0115899155244387,0.0047924267823686,0.0119646320218256,0.0256647930841797
"Ev37Core_A",0,0.000394648002510532,0.0178542560171933,0.0373013684300617,0.296998773262836,0.271669979173997,0.00177829340890288,0.00183535095143452,0.000675180919957777,8.55863137974647e-05,0.112702910885628,0.00890097663493633,0.000190191808438811,0,0.00256758941392394,0.00812594501554818
"EvXCore_A",0,0.00297775442284113,0.000175162024873008,0.0443860571028201,0.12835873182694,0.19474513925381,0.00893326326852338,0.00385356454720617,0.0322998773865826,0,0.181888246628131,0.0595901208617972,0.0280259239796812,0.000280259239796812,0.00879313364862498,0.0162200035032405
"Hero_1",0.00294273648993248,0.149044248148677,0.0456863665109447,0.0261786246149452,0.0374956649462453,0.0472469858626247,0.0285042534527428,0.0212570635875885,0.0379954711438422,0.0107713335645362,0.00111181378649095,0.282206899365552,0.0329311083457435,0.028641955160244,0.0342826251045513,0.0249444093106755
"Hero_2",0.00394674835061263,0.0338026233113415,0,0.0115064404649702,0.0202933553251649,0.0101614043355325,0.0151881087024819,0.00246426327364122,0,0.00170829406220547,0.320560398994659,0.0518967954759661,0.00550777568331763,0.0163662425384857,0.059574300973924,0.0160520735155514
"Hero_3",0,0.0501580877703301,0.00586821803465284,0.0217781712406728,0.0435816365245985,0.016997597065891,0.0230428734033135,0,0.00429998735297837,0.00151764259516884,0.302567345390161,0.0147211331731377,0.0115846718097888,0.0170987732389022,0.00576704186164158,0.0374351840141647
"Station_B1_2",0.00103759738560932,0.102176737421349,0.0130763875647944,0.0293542508236484,0.0812651593421455,0.07978857844724,0.0654927922455115,0.0083983309758293,0.0320369278249032,0.00682863236683058,0.000953348025239335,0.0893220586996333,0.0151826215740441,0.00557376031500392,0.0260906966535267,0.0501815795424816
"Station_B1_3",0.000950885848845033,0.0922628392016147,0.0133348284368693,0.0298497420946401,0.108436869253196,0.0993361740300516,0.041287284144427,0.00907826867010541,0.0324601928683561,0.00783135232114824,0.000923973985198475,0.100107647454586,0.0147297600358825,0.00621215519174703,0.0299977573446961,0.0535994617627271
"Station_B1_4",0.00602335145657403,0.425408171813109,0.00796598202568102,0.00967326310078942,0.0181259000123658,0.00792609228093549,0.0194981072316118,0.0240814389028725,0.0316525124555728,0.00849651563079648,0.000542500528539118,0.225955459111017,0.0304039634450379,0.0010211774654854,0.0247156858443263,0.0258365876716755
"Station_B2_1",0.00295377232414044,0.143421212489369,0.0394241282954683,0.0142145547321103,0.0715587413437006,0.019036265338355,0.0719991495565545,0.0240022476005346,0.0274495808528733,0.012232717774268,0.00137437735390597,0.197720507836229,0.0244502490584376,0.0394089418053699,0.0326585469566274,0.0233264487911554
"Station_B2_2",0.00201605136436597,0.0906067415730337,0.033091492776886,0.0261829855537721,0.0847512038523274,0.0577207062600321,0.0525329052969502,0.0245906902086677,0.0290465489566613,0.0101958266452648,0.00859069020866774,0.210105939004815,0.0253868378812199,0.0488860353130016,0.0335794542536116,0.0239101123595506
"Station_B2_3",0.0025723723314073,0.141870231610948,0.033265451285699,0.0238918824114042,0.0664432080601,0.0429410790322423,0.0238041879001062,0.0251488370733418,0.0334310964737063,0.00979255376160734,0.00140311218076762,0.252189926823802,0.0283448148184236,0.0371434974519873,0.0356526907599217,0.0240867591031775
"Station_B3_1",0.0026159959622671,0.119169989976755,0.0550354367931302,0.0289892161253403,0.0341430125183937,0.0566419995308268,0.0295294761610259,0.0195417741855225,0.0371002253453044,0.0104497664797083,0.000597129513126186,0.289408770695158,0.0312071257455233,0.0310649520519218,0.0347259246621598,0.0280295436935304
"Station_B3_2",0.0030011962810351,0.194196288030893,0.0597301022085727,0.0153907501591543,0.0317539158965462,0.0350279482031299,0.0470886996914854,0.0201269037308578,0.0287876985931455,0.00903856782073974,0.000370777162925082,0.280251568807147,0.0266819641395521,0.0304107231553836,0.0325304492000308,0.0212882057883212
"Station_B3_3",0.00323886639676113,0.130824211525966,0.0677962713050432,0.0285000249912531,0.0328584995251662,0.0505523066926576,0.0307192482631079,0.0176938071674914,0.033468286099865,0.01364522417154,0.000589793572249713,0.254710851202079,0.033748188134153,0.0336282301194582,0.0332383665716999,0.0291098115659519
"Station_B4_1",0.00429786351379382,0.288977390582867,0.0200871188550093,0.0146027795063265,0.0240531010163866,0.0123542833437046,0.0415349512549264,0.0248413192283759,0.0470773698402821,0.00783239991702966,0.000439742791951877,0.30492428956648,0.0381746525617092,0.00168429786351379,0.0349471064094586,0.0162372951669778
"Station_B4_2",0.00412341613572911,0.208547498031355,0.0218984895124919,0.0160140310687952,0.0413558594029637,0.0256854463454793,0.0273176318992054,0.0267019829622736,0.0431312191280693,0.0117116472188417,0.00470327152981602,0.327518075739137,0.0406972582146181,0.00355071945021118,0.0393585797122199,0.0203951607130074
"Station_B4_3",0.00381182821847186,0.286640970769904,0.0179283595155878,0.0135632994504158,0.0243908370215456,0.0115509946014299,0.0339416857156753,0.0246218569135742,0.0465018724770196,0.00830455717134381,0.000370847721414328,0.317591556830893,0.0445503623364622,0.00150770876902874,0.0350116725840183,0.0164328096882447
