,kingdom,supergroup,division,class,order,family,genus,species,taxon
Perkinsea_32,Eukaryota,Alveolata,Perkinsea,Perkinsida,Perkinsida_X,Perkinsida_XX,Perkinsida_XXX,Perkinsida_XXX_sp.,Perkinsida_XXX_sp.
Radiolaria_1,Eukaryota,Rhizaria,Radiolaria,RAD-A,RAD-A_X,RAD-A_XX,RAD-A_XXX,RAD-A_XXX_sp.,RAD-A_XXX_sp.
Apicomplexa_56,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Haemosporida,Plasmodiidae,Hepatocystis,Hepatocystis_sp.,Hepatocystis_sp.
Bacillariophyta_15,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Pleurosira,Pleurosira_laevis,Pleurosira_laevis
Bacillariophyta_174,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Asterionellopsis,Asterionellopsis_glacialis,Asterionellopsis_glacialis
Bacillariophyta_254,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Craticula,Craticula_importuna,Craticula_importuna
Bacillariophyta_362,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,,,Araphid-pennate
Cercozoa_141,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,Cercomonas_sp.,Cercomonas_sp.
Cercozoa_376,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,,,,,Phaeodarea
Cercozoa_39,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,Euglypha,Euglypha_rotunda,Euglypha_rotunda
Cercozoa_48,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Trinematidae,Trinema,Trinema_enchelys,Trinema_enchelys
Cercozoa_77,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Marimonadida,Marimonadida_X,Marimonadida_XX,Marimonadida_XX_sp.,Marimonadida_XX_sp.
Ciliophora_1273,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Platyophryida,Woodruffides,Woodruffides_metabolicus,Woodruffides_metabolicus
Ciliophora_1546,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Euplotia,Euplotidae,,,Euplotidae
Ciliophora_349,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida,Strombidiidae_Q,Strombidiidae_Q_X,Strombidiidae_Q_X_sp.,Strombidiidae_Q_X_sp.
Ciliophora_556,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Strombidiida_B,Strombidiida_B_X,Strombidiida_B_XX,Strombidiida_B_XX_sp.,Strombidiida_B_XX_sp.
Dictyochophyceae_0,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Pseudochattonella,Pseudochattonella_verruculosa,Pseudochattonella_verruculosa
Dinoflagellata_1017,Eukaryota,Alveolata,Dinoflagellata,,,,,,Dinoflagellata
Dinoflagellata_1340,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Polarella,Polarella_glacialis,Polarella_glacialis
Dinoflagellata_1628,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Nusuttodinium,Nusuttodinium_desymbiontum,Nusuttodinium_desymbiontum
Dinoflagellata_1748,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniales_X,Sabulodinium,Sabulodinium_undulatum,Sabulodinium_undulatum
Dinoflagellata_1781,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Heterocapsaceae,Heterocapsa,Heterocapsa_rotundata,Heterocapsa_rotundata
Dinoflagellata_976,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-3,Dino-Group-I-Clade-3_X,Dino-Group-I-Clade-3_X_sp.,Dino-Group-I-Clade-3_X_sp.
Discoba_27,Eukaryota,Excavata,Discoba,Euglenozoa,,,,,Euglenozoa
Discoba_33,Eukaryota,Excavata,Discoba,,,,,,Discoba
Haptophyta_143,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,,Chrysochromulina
Haptophyta_91,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Coccolithales,Chrysotilaceae,,,Chrysotilaceae
Lobosa_59,Eukaryota,Amoebozoa,Lobosa,Discosea-Flabellinia,Vannellida,Vannellidae,Clydonella,Clydonella_sp.,Clydonella_sp.
Metamonada_11,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha_sp.,Pyrsonympha_sp.
Metamonada_25,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Trimastigidae,Trimastix,,Trimastix
Opalozoa_10,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12E,MAST-12E_X,MAST-12E_XX,MAST-12E_XX_sp.,MAST-12E_XX_sp.
