"","Asterionellopsis_glacialis","Aureococcus_anophagefferens","Azadinium_cuneatum","Bacillaria_paxillifer","CCW10-lineage_X_sp.","Cercozoa","Chaetoceros","Chaetoceros_debilis","Chaetoceros_neogracilis","Chrysochromulina_simplex","Corethron_inerme","Coscinodiscus_wailesii","Cryomonadida","Cryothecomonas_aestivalis","Cryptophyceae","Dinoflagellata","Diplopsalidaceae","Eucampia_antarctica","Filosa-Granofilosea_X","Fragilariopsis_sublineata","Gymnodiniaceae","Gyrodinium_spirale","Heterocapsa_rotundata","Kinetoplastida","Leegaardiella_sp.","MAST-1A_XX_sp.","MAST-1C_XX_sp.","Micromonas_polaris","Navicula_gregaria","Nitzschia_sp.","Novel-clade-2_X_sp.","Paraphysomonas_sp.","Parvodinium_inconspicuum","Pentapharsodinium_dalei","Phaeocystis_antarctica","Picozoa_XXXX_sp.","Placidiales_XX_sp.","Planktoniella_sol","Polar-centric-Mediophyceae","Polarella_glacialis","Porosira_pseudodelicatula","Proboscia_alata","Prorocentrum_micans","Protaspa-lineage_X_sp.","Pseudo-nitzschia","Pseudopedinella_elastica","Pyramimonas_australis","Pyramimonas_sp.","Pyrsonympha_sp.","Raphid-pennate_X_sp.","Reckertia_filosa","Rhizosolenia_pungens","Spirotrichea","Stellarima_microtrias","Strombidiida_B_XX_sp.","Strombidiida_F_XX_sp.","Strombidiidae_M_X_sp.","Telonemia_XX","Thalassiosira_hendeyi","Thalassiosira_tumida","Toxarium_undulatum","Trinema_enchelys","Unclassified Eukaryota"
"Ev32Core_C",0.000900634388456102,0.00214311540610722,0,0.00718535318673372,0.0401604049567761,0.00392466226210433,0.000512769943792525,0.000591657627452914,0.00789534233967722,0.00064424941655984,0.0776714985372909,0.00278736482266706,0.00657397363836571,0.0255333136114124,0.0105183578213851,0.0242053709364625,0.00103868783486178,0.00178812082963547,5.91657627452914e-05,0.174512704204056,0.00139368241133353,0.00445715412681195,0.00259671958715446,0.00209709759063866,0.000407586365578674,0.00252440587713243,0.00315550734641554,0.00127535088584295,0.00471353909870821,0.00402327186667981,0.00915097130460507,0.00360911152746277,0.000709989152943497,0.112704204056142,0.0486211090293528,0.000999243993031588,0.00473326101962331,0.00337902245011997,0.00816487525885021,0.0132005390658383,0.0120237977845709,0.000782302862965519,0.00171580711961345,0.00458863359957927,0.000953226177563028,0.00470696512506985,0.00123590704401275,0.000289254840088091,0.00526575288433093,0.0514413437202117,0.0141866351115932,0.105374223449364,0.00130822075403478,0.0115899155244387,0.00106498372941525,0.00118988922854419,0.0047924267823686,0.00128192485948131,0.0006902672320284,0.0119646320218256,0.000887486441179371,0,0.0256647930841797
"Ev37Core_A",0.00325227992430366,0.000280532917447246,0,0.000489743906729937,0.000446950749831205,0.00191618247002102,0.000294797303080156,0,0,0,0.000394648002510532,7.1321928164554e-05,0.000646652148691956,0.00213014825451468,0.0178542560171933,0.0373013684300617,0,2.85287712658216e-05,0,0.296998773262836,0,0.00630485844974657,0.0639710147683939,0.000437441159409264,1.42643856329108e-05,3.32835664767918e-05,0,6.18123377426134e-05,0.00513993362305885,0.0242874939376361,0.0162804188023622,0.00127428511654003,0,0.271669979173997,0.00177829340890288,1.90191808438811e-05,4.27931568987324e-05,0.00278630999362857,0.00183535095143452,0.000342345255189859,0.000675180919957777,0.000670426124746807,0.00227754690605476,0.00135511663512653,0.00166893311905056,8.55863137974647e-05,2.85287712658216e-05,0.000137889061118138,0.000527782268417699,0.112702910885628,0.0113734701446409,0.00890097663493633,0.000309061688713067,0.000190191808438811,0,0,0,9.0341109008435e-05,0,0.00256758941392394,7.1321928164554e-05,0,0.00812594501554818
"EvXCore_A",0.00294272201786653,0,0,0.00945874934314241,0.00126116657908565,0.00122613417411105,0.000140129619898406,0,0,0,0.00297775442284113,0.0173410404624277,0.00395866176212997,0.00900332807847259,0.000175162024873008,0.0443860571028201,0,0.004659309861622,0,0.12835873182694,0,0.00665615694517429,0,0.0069714485899457,0,0.000140129619898406,0.0092485549132948,0.000140129619898406,0.00318794885268874,0.00143632860395866,0.010194429847609,0.0533893851812927,0.000910842529339639,0.19474513925381,0.00893326326852338,0.000280259239796812,0,0.000385356454720617,0.00385356454720617,0.00168155543878087,0.0322998773865826,0.00886319845857418,0,0.00276755999299352,0,0,0,0,0.00868803643370117,0.181888246628131,0.018286915396742,0.0595901208617972,0.000595550884568226,0.0280259239796812,0,0,0.000280259239796812,0,0,0.00879313364862498,0.00276755999299352,0,0.0162200035032405
"Hero_1",0.000918011383341153,0.00832330320895979,0,0.00133621656908546,0.000311103857687835,0.000734409106672923,0.000800709928803117,0.000520206450559987,0.00294273648993248,0.00178502213427447,0.149044248148677,0.0139486729635447,3.57004426854893e-05,0.00109141353352782,0.0456863665109447,0.0261786246149452,0.00429425324874028,0.00477875925661478,0.000489606071115282,0.0374956649462453,0.00647198025255513,0.00242763010261327,0.000969012015748995,0,0.00240722984965014,0.00799179909830882,0.00871600807850017,0.00153001897223526,0.00226442807890818,0,0.000198902466390583,4.59005691670577e-05,0.00163712030029172,0.0472469858626247,0.0285042534527428,0.00255513168363288,0.01703931128746,0.00966971990452682,0.0212570635875885,0.00037740467981803,0.0379954711438422,0.002386829596687,0.00668618290866807,0.00557436912217711,0.00317223933576776,0.0107713335645362,0.00642097962014729,0.00193802403149799,0.000198902466390583,0.00111181378649095,0,0.282206899365552,0.00231032864807524,0.0329311083457435,0.0140506742283604,0.00245823048205798,0.028641955160244,0.00674228360431669,0.00232562883779759,0.0342826251045513,0.00231032864807524,0,0.0249444093106755
"Hero_2",0.00284715677034244,0.0121445962928055,0,0,0,0,0,0,0.00394674835061263,0,0.0338026233113415,0,0,0.000314169022934339,0,0.0115064404649702,0.00470271756204838,0,0.0154237354696827,0.0202933553251649,0.00633246936852026,0.00143339616713792,0.0359821709079485,0.025202246308514,0.00846292805529375,0.00734370091109017,0.0165036914860195,0.00237590323594094,0.000520342444234998,0,0,0.00694117185045555,0,0.0101614043355325,0.0151881087024819,0.00390747722274584,0.0103184888469997,0.00505615771284951,0.00246426327364122,0.0147463085139805,0,0,0,0,0,0.00170829406220547,0.0115457115928369,0.00925816839459629,0.011251178133836,0.320560398994659,0.0233074143889412,0.0518967954759661,0.00214027646874018,0.00550777568331763,0,0,0.0163662425384857,0.0295711592836946,0,0.059574300973924,0,0.0868284637134779,0.0160520735155514
"Hero_3",0,0.0284557986594157,0,0,0,0.0152523080814468,0,0,0,0,0.0501580877703301,0.00723409637030479,0.0211205261160997,0.00298469710383205,0.00586821803465284,0.0217781712406728,0,0,0.0163905400278234,0.0435816365245985,0,0,0.0177058302769698,0.0113570254205135,0.00693056785127103,0,0.000632351081320349,0,0,0,0,0,0.0152017199949412,0.016997597065891,0.0230428734033135,0,0,0,0,0.0118629062855697,0.00429998735297837,0,0.00384469457442772,0,0,0.00151764259516884,0.0101429113443784,0.00204881750347793,0.00665233337549007,0.302567345390161,0.00822056405716454,0.0147211331731377,0.00589351207790565,0.0115846718097888,0,0,0.0170987732389022,0.0179840647527507,0.000859997470595675,0.00576704186164158,0,0.0898444416339952,0.0374351840141647
"Station_B1_2",0.00244766562759122,0.0554227765928672,0.0198739806935939,0.00415038954243729,0.00018180125132471,0.00111297839225615,0.00086023031114619,0.000190669605047867,0.00103759738560932,0.00311279215682797,0.102176737421349,0.00049662780849677,0.000106420244677879,0.00147658089490557,0.0130763875647944,0.0293542508236484,0.00403953512089783,0.00236341626722123,0.000310392380310481,0.0812651593421455,0.000926742964069865,0.00436766420865463,0.00377791868606471,5.76442992005179e-05,0.000713902474714106,0.0621494228918815,0.033721915032303,0.00926742964069865,0.00304184532704271,0,0.00411048195068309,5.76442992005179e-05,0.00126374040554982,0.07978857844724,0.0654927922455115,0.00393311487621995,0.0127349559464529,0.0153599886485072,0.0083983309758293,0.000984387263270383,0.0320369278249032,0.00140563406512032,0.00400849588286678,0.00160960620075292,0.00224369349195862,0.00682863236683058,0.00115732016087194,0.00178253909835448,6.20784760620962e-05,0.000953348025239335,0.000141893659570506,0.0893220586996333,0.000700599944129372,0.0151826215740441,0.000807020188807251,0.00624775519796383,0.00557376031500392,0.0533963577671259,0.00384886551584997,0.0260906966535267,0.001472146718044,0,0.0501815795424816
"Station_B1_3",0.00265978919040144,0.0466875981161695,0,0.00398295581969051,0.000363310159228527,0.00172684458398744,0.000793899977573447,0.000139044628840547,0.000950885848845033,0.00263287732675488,0.0922628392016147,0.000861179636689841,0.000201838977349181,0.00179860955371159,0.0133348284368693,0.0298497420946401,0.00332361516034985,0.00236824400089706,0.000309486431935412,0.108436869253196,0.00104059206100022,0.00817223592733797,0.0034850863422292,3.13971742543171e-05,0.000453016371383718,0.0538282126037228,0.0330118860731106,0.0077685579726396,0.0026194213949316,0.000188383045525903,0.00613590491141512,6.72796591163938e-05,0.000888091500336398,0.0993361740300516,0.041287284144427,0.0037407490468715,0.0157120430589818,0.0185557299843014,0.00907826867010541,0.00100470957613815,0.0324601928683561,0.00150706436420722,0.00422516259250953,0.00185243328100471,0.00235927337968154,0.00783135232114824,0.00097331240188383,0.0021529490917246,0.000300515810719892,0.000923973985198475,0.000233236151603499,0.100107647454586,0.000565149136577708,0.0147297600358825,0.000986768333707109,0.0063377438887643,0.00621215519174703,0.0471899529042386,0.00400089706212155,0.0299977573446961,0.00111684234133214,0,0.0535994617627271
"Station_B1_4",0.000534522579590013,0.00415252242800898,0,0.00206229980334356,0.000402886421929786,0.000506599758268147,0.000877574384401514,0.000498621809319042,0.00602335145657403,0.00114882464867107,0.425408171813109,0.00523752348508722,0,0.000869596435452409,0.00796598202568102,0.00967326310078942,0.00430809243251652,0.00423230191750003,0.000303162060065978,0.0181259000123658,0.00245720827632424,0,0.000227371545049483,0.000155570004507541,0.000343051804811501,0.00236147288893498,0.00333478266072575,0.000829706690706886,0.00236147288893498,0.00121663721473846,0.000323106932438739,0,0.000382941549557024,0.00792609228093549,0.0194981072316118,0.0023016382718167,0.0140810798951698,0.00369379036343546,0.0240814389028725,8.37684639655991e-05,0.0316525124555728,0.00224978160364752,0.00242928545500237,0.00663366455118054,0.00224180365469841,0.00849651563079648,0.000757905150164944,0.000259283340845902,0.0264788125620784,0.000542500528539118,7.97794894910467e-05,0.225955459111017,0.000299173085591425,0.0304039634450379,0.00115281362314563,0.00250906494449342,0.0010211774654854,0.00209022262466542,0.00129242772975496,0.0247156858443263,0.00173121492195571,0,0.0258365876716755
"Station_B2_1",0.0017995990766614,0.0217850200461669,0,0.0017995990766614,0.000151864900984085,0.000903596160855303,0.00142753006925039,0.000303729801968169,0.00295377232414044,0.00235390596525331,0.143421212489369,0.00214129510387559,0,0.00418387802211153,0.0394241282954683,0.0142145547321103,0.00471540517555583,0.00389533471024177,0.000668205564329972,0.0715587413437006,0.00460150649981776,0.00130603814846313,0.0026956019924675,0,0.0044876078240797,0.0194311140809136,0.014093062811323,0.00297655205928806,0.00270319523751671,0,0.000121491920787268,0,0.00119973271777427,0.019036265338355,0.0719991495565545,0.00280190742315636,0.0224152593852509,0.021268679382821,0.0240022476005346,0.000546713643542704,0.0274495808528733,0.00220204106426923,0.00586198517798566,0.00352326570283076,0.00452557404932572,0.012232717774268,0.0046774389503098,0.00154902199003766,0.000205017616328514,0.00137437735390597,7.59324504920423e-05,0.197720507836229,0.0016249544405297,0.0244502490584376,0.00877779127688009,0.00478374438099866,0.0394089418053699,0.014427165593488,0.00432055643299721,0.0326585469566274,0.00241465192564694,0.000265763576722148,0.0233264487911554
