SampleID,Polaribacter sp. L3A8,Marinomonas,Candidatus Pelagibacter sp. FZCC0015,Candidatus Nasuia deltocephalinicola,Candidatus Thioglobus sp. NP1,Candidatus Carsonella ruddii,Glaciecola amylolytica,Planktomarina temperata RCA23,Sulfitobacter sp. SK011,Flavobacteriaceae,Bacteria,Octadecabacter,Paraglaciecola psychrophila 170,Owenweeksia hongkongensis DSM 17368,Candidatus Pelagibacter,Fluviicola taffensis DSM 16823,Neorickettsia,Amoebophilaceae,Pseudohongiella spirulinae,Anaerococcus
Ev32Core_B,0.148786028,0.043493557,0.058829502,0.054811877,0.038645722,0.051559515,0.059594764,0.027922724,0.015305236,0.025252759,0.008565162,0.072158589,0.070267603,0.021618646,0.007078672,0.008083078,0.007269987,0.009374457,0.002200128,0.000218646
Ev32Core_C,0.127363589,0.020671101,0.017633111,0.043069813,0.01395642,0.022210217,0.03106429,0.006588397,0.117429019,0.020954052,0.008779038,0.035606623,0.091051932,0.022322769,0.002251036,0.024761391,0.002100966,0,0.001425656,0.001865144
Ev37Core_A,0.10939861,0.021161051,0.003084133,0.136252598,0.000550738,0.092854438,0.041819377,0,0.088448534,0.062393998,0.002643543,0.009671498,0.024067254,0.018064209,0,0.040038658,0,0,0,0.000629415
EvXCore_A,0.124071829,0.003629434,0.000614043,0.022193278,0,0.035439069,0.003099457,0,0.108247057,0.031110576,0.017152618,0.056369172,0.095849231,0.021009052,0,0.023070483,0,0,0.000175441,0
Hero_1,0.091763059,0.090789778,0.124208062,0.058476459,0.113615552,0.066457117,0.105247953,0.062684442,0.015380905,0.024339102,0.017992757,0.004133662,0.004860946,0.015671111,0.02118502,0.005151152,0.013349465,0,0.010955267,0.001368113
Hero_2,0.017642277,0.015454486,0.023047794,0.0094028,0.016181563,0.060615262,0.00209923,0.019658413,0,0.008475115,0.143622308,0.303627357,0.018761867,0.0047014,0,0.003411248,0,0.094334141,0.009949475,0
Hero_3,0.027466524,0.009426945,0.023695746,0,0.023475662,0.006235723,0,0,0,0.005900705,0.19264715,0.21867579,0.014134305,0.003117861,0.002347566,0.005465428,0,0.078350021,0,0
Station_B1_2,0.044517777,0.056576909,0.169407726,0.02481379,0.189748907,0.043623255,0.015725612,0.044830695,0.010783277,0.019690504,0.015439691,0.003634275,0.010864968,0.021627822,0.033575202,0.008363166,0.038415423,0,0.018380585,0.00052516
Station_B1_3,0.052724549,0.050081761,0.121628153,0.038336829,0.193167413,0.047921036,0.007207172,0.065891424,0.010097647,0.026348183,0.022933639,0.005921671,0.010458956,0.022249052,0.025957228,0.008871096,0.033715872,0,0.017599571,0.000603088
Station_B1_4,0.200803444,0.093053358,0.109383056,0.116899901,0.089813339,0.044323466,0.080568483,0.04166665,0.003628822,0.024589203,0.019440117,0.002410574,0.003823223,0.014644888,0.01827371,0.006804041,0.00660964,0,0.007516845,0.0024439
Station_B2_1,0.040263713,0.069840547,0.180533075,0.032027953,0.176219106,0.036995554,0.016384368,0.057127411,0.001699442,0.014270923,0.020654762,0.004313969,0.005446931,0.025099457,0.043662598,0.003202795,0.007451401,0.047584388,0.024184373,0
Station_B2_2,0.071693124,0.063510221,0.111372577,0.045129195,0.106474466,0.050930841,0.044463433,0.054393039,0.042608808,0.024097762,0.018688908,0.012842028,0.031718834,0.021993944,0.020448424,0.011650846,0.010889974,0,0.013434139,0.00112772
Station_B2_3,0.06411711,0.090559259,0.139043589,0.054354803,0.137349813,0.051737149,0.018015614,0.089385164,0.014320104,0.031122042,0.014320104,0.006282368,0.006467144,0.020248319,0.028948167,0.006544133,0.013704185,0,0.016398829,0.00105586
Station_B3_1,0.099410847,0.084500112,0.131667633,0.059767828,0.11132873,0.078322616,0.038893691,0.084745428,0.015700206,0.026642669,0.016770674,0.003532546,0.003627699,0.018376377,0.024442365,0.004103463,0.014629737,0,0.01061548,0.002395811
Station_B3_2,0.086103821,0.099588741,0.160641457,0.059330245,0.10173959,0.051619455,0.079035597,0.070546414,0.016064146,0.023149517,0.013065505,0.003343432,0.00489064,0.018313126,0.023774936,0.005354715,0.012637128,0,0.011673279,0.001162738
Station_B3_3,0.091767945,0.081969187,0.125156195,0.078993656,0.108641149,0.087350667,0.128804097,0.044570728,0.005770317,0.021104172,0.016912999,0.001785935,0.003681065,0.015719141,0.021091505,0.003880041,0.013729376,0,0.008655476,0.002444568
Station_B4_1,0.122623048,0.128953791,0.126822753,0.048857946,0.144494776,0.026819894,0.034165911,0.089711505,0.015385055,0.026585005,0.019543178,0.005862953,0.004851144,0.017672023,0.014761337,0.005925325,0.007068809,0,0.01216251,0.002138463
Station_B4_2,0.127840265,0.083836625,0.11560236,0.088296285,0.098859949,0.059993639,0.059661448,0.058299466,0.019333498,0.031754235,0.021924586,0.006696964,0.00607909,0.01604481,0.019134184,0.007374633,0.008371205,0,0.009068806,0.003245978
Station_B4_3,0.136958075,0.111617699,0.116289097,0.056578717,0.133200079,0.040711623,0.044539211,0.085181242,0.015031984,0.029401608,0.014196874,0.004008529,0.004384329,0.01534515,0.019416312,0.00595016,0.008351102,0,0.01367493,0.002028125
Station_B5_1,0.225040393,0.101792588,0.105327633,0.086622514,0.109558553,0.042309197,0.065245236,0.052218456,0.00311752,0.025057339,0.018037079,0.004943496,0.003599993,0.015587599,0.015142239,0.00634638,0.00734844,0,0.0072371,0.002099554
Station_B5_2,0.213703637,0.091714672,0.10864706,0.11377632,0.086264833,0.05432353,0.084710511,0.043831861,0,0.024549004,0.022848523,0.003497223,0.003652655,0.014338614,0.01422204,0.005478983,0.003963519,0,0.007577316,0.00353053
Station_B5_3,0.210864618,0.089435876,0.099966003,0.110074925,0.090980295,0.045490147,0.087049048,0.042120507,0.004492854,0.024996849,0.023400282,0.003594283,0.002714433,0.012074545,0.015537787,0.00664568,0.00411845,0,0.005241663,0.003369641
