,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
B234-P_Hero11_16S.16S.exp.,2.515782451949471,0.980334904886443,3.640570674832795,2.32928982530921,3441.5891358619615,1261.1137274589692,3864910.0484612943,1413541.7041788448,41.44408039090294,8.54103432086499,0.4044575370008617,0.08648632312837547,0.5637553900082405,0.11105582842686638
B234-P_core_2_16S.16S.exp.,2.6810429198835357,1.2341032678854695,3.798272312637953,2.8445437385322436,3403.799945771084,1187.885669378612,3879098.6071558017,1365543.887858184,41.08876430645566,9.486423541792684,0.4013189007089685,0.09178566935065884,0.533322429605614,0.12884067784215925
B234-P_Carboy6_16S.16S.exp.,2.8649743166812933,1.3481622980689996,3.803022121715745,3.152506852842274,3285.8410966625524,886.6670903409356,3789938.9366157935,1052811.244469314,39.21767131180877,8.152670348339267,0.39047863777668573,0.09632222960772095,0.5125851554603756,0.13906713638693885
Barrow_S1IC5_16S.16S.exp.,2.7114456712730397,1.250484523285396,5.075865492977298,4.367474064493266,3253.76579832299,1201.6627465052673,3810575.824153059,1442750.5889142954,38.04975712861732,10.028853402098203,0.4120344881543169,0.11176232859840637,0.48295373615439685,0.13909176379403185
B234-P_StationB51_16S.16S.exp.,2.603245997451869,1.064213901526686,3.583860283814865,2.173314268530907,3551.6531869188825,1143.4082898541983,3988403.8120005545,1266641.0179193825,42.361661323243865,6.8488316391731585,0.39292009977395864,0.07260178904037583,0.5622082229924537,0.11555510444422135
B234-P_DockSlush3_16S.16S.exp.,2.5497312371323058,0.9847180788151527,3.628186835146226,2.372216205974375,3470.31721233672,1119.6563419749768,3902738.936731455,1259153.5567388793,41.7755942785817,7.487252815178005,0.39687069697699795,0.07430113673720821,0.5655768522330009,0.10852214801853767
B234-P_Carboy1_16S.16S.exp.,2.866496918471865,1.3510878301692422,3.817391972332231,3.1793269530157473,3286.600004162872,880.7149872693909,3791445.996222546,1046648.7096970432,39.165644771972076,8.08066330652002,0.38992622802507054,0.09517585712002473,0.51307129801762,0.13860748972515932
mock_community_I_2_16S.16S.exp.,5.316426776660316,1.4951273123494984,1.615001866551636,1.3501130681138747,3024.258205352888,1300.6041856273735,3193796.866001891,1470751.425950488,41.394478654109896,11.584375567299219,0.4972611355161364,0.03326712212533156,0.5050484903999254,0.03350627001686125
B234-P_Station_B23_16S.16S.exp.,2.5453771333039357,1.0335713803339797,3.730257653565534,2.4715838756079043,3631.4056976363563,1313.8393973740308,4064477.9710696265,1455021.0313213447,42.354189001973026,7.428156757936015,0.3966892087311669,0.06896848360301573,0.569884525034113,0.11134878713742681
mock_community_II_1_16S.16S.exp.,5.73220319625536,0.549162468898243,1.1549165111902844,0.0657133200158934,3113.0936450422887,779.9828402223279,3258397.578994102,896250.4489699373,40.038740203877786,7.246979709244288,0.4986452800960644,0.019350280101962693,0.4941559355830246,0.01799446001987339
B234-P_B31_16S.16S.exp.,2.552317452298356,0.9673946178533839,3.6349012140180337,2.35151733110314,3465.06604776952,1096.155364581083,3898541.018252687,1233805.1943746184,41.722743316012775,7.369848665643927,0.3957293272070679,0.07236528869586355,0.5670911509320085,0.1070252959325858
B234-P_Blankdry2_16S.16S.exp.,2.37768659632669,1.5265504648176593,1.6865637618861535,0.5616056418615933,3101.690666927185,1892.1491600173565,3798347.0629226025,2210438.6727000563,52.984262350200886,14.092705934160447,0.4019484980630322,0.03682133691212985,0.4677282173823225,0.09388133089875472
B234-P_core_1_16S.16S.exp.,2.862787522972601,1.4208373335045652,4.853677424249008,4.427407400070447,3241.3464044147,1060.0573140552794,3822946.325084266,1298782.7432901952,37.563774236003354,9.657686457225067,0.3990963695472218,0.11398648991287141,0.4670812444448877,0.14473188349869698
B234-P_Carboy8_16S.16S.exp.,3.0240205889111684,1.5382059248326962,3.631375618288298,2.9895150747440606,3443.3146573813283,667.4105423913147,3961097.5961109954,786959.2854171041,40.6253729281078,7.590068197064041,0.3778512183983481,0.07620161793846197,0.5176308220700633,0.13927339982190642
B234-P_Hero12_16S.16S.exp.,2.2529164760914515,1.5593273906342426,2.9805493808200083,3.222643056398928,3213.321409428877,1425.9964391159435,3711865.4594518915,1642345.0711729631,45.616448420481525,13.28409502927971,0.43668331804382426,0.103332845134064,0.48953431252467405,0.12017871572970669
