,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Cyanobacteria_117,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,
Firmicutes_Tenericutes_1779,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,,,Oenococcus
Firmicutes_Tenericutes_2562,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,,Bacillus subtilis
Proteobacteria_1924,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,,,,Moraxellaceae
Proteobacteria_2623,Bacteria,Proteobacteria,,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,Methylomonas sp. LL1,,Methylomonas sp. LL1
Proteobacteria_2664,Bacteria,Proteobacteria,sulfur-oxidizing symbionts,Gammaproteobacteria,,,Candidatus Ruthia,Candidatus Ruthia magnifica,Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica)
Proteobacteria_6904,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,,,,Alcanivoracaceae
Proteobacteria_6968,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,,,Colwellia
Proteobacteria_6979,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Colwelliaceae,,,,Colwelliaceae
Spirochaetes_48,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Spirochaetaceae,,,,Spirochaetaceae
Actinobacteria_1660,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis,,Bifidobacterium adolescentis
Firmicutes_Tenericutes_3393,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,,,Cellulosilyticum
Planctomycetes_34,Bacteria,Planctomycetes,PVC group,Phycisphaerae,Sedimentisphaerales,,,,,Sedimentisphaerales
Proteobacteria_6776,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_4369,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,Kofleriaceae,Haliangium,Haliangium ochraceum,Haliangium ochraceum DSM 14365,Haliangium ochraceum DSM 14365
Proteobacteria_6693,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella,Allofrancisella guangzhouensis,,Allofrancisella guangzhouensis
Proteobacteria_6795,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salinicola,Salinicola tamaricis,,Salinicola tamaricis
Verrucomicrobia_28,Bacteria,Verrucomicrobia,PVC group,Spartobacteria,,,Candidatus Xiphinematobacter,Candidatus Xiphinematobacter sp. Idaho Grape,,Candidatus Xiphinematobacter sp. Idaho Grape
Actinobacteria_159,Bacteria,Actinobacteria,Terrabacteria group,,,,,,,Terrabacteria group
Actinobacteria_2107,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Pseudarthrobacter sulfonivorans,,Pseudarthrobacter sulfonivorans
Actinobacteria_29,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes KPA171202,Cutibacterium acnes KPA171202
Chlamydiae_42,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,Simkaniaceae,Simkania,Simkania negevensis,Simkania negevensis Z,Simkania negevensis Z
Cyanobacteria_182,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Aphanothecaceae,Crocosphaera,Crocosphaera subtropica,Crocosphaera subtropica ATCC 51142,Crocosphaera subtropica ATCC 51142
Cyanobacteria_211,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,,,,,Synechococcales
Firmicutes_Tenericutes_3975,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula,,Veillonella parvula
Fusobacteria_58,Bacteria,Fusobacteria,,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium gonidiaformans,Fusobacterium gonidiaformans ATCC 25563,Fusobacterium gonidiaformans ATCC 25563
Gemmatimonadetes_4,Bacteria,Gemmatimonadetes,FCB group,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,Gemmatimonas phototrophica,,Gemmatimonas phototrophica
Planctomycetes_60,Bacteria,Planctomycetes,PVC group,Planctomycetia,,,,,,Planctomycetia
Proteobacteria_2619,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_3815,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus,Variovorax paradoxus EPS,Variovorax paradoxus EPS
Proteobacteria_4233,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter,Permianibacter aggregans,,Permianibacter aggregans
Proteobacteria_5875,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,,Rhodobacteraceae
Proteobacteria_6554,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,,,Acetobacteraceae
Proteobacteria_6606,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,Aquicella siphonis,,Aquicella siphonis
Proteobacteria_6623,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,,,Coxiella
Proteobacteria_6709,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella clemsonensis,,Legionella clemsonensis
Proteobacteria_8437,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,Shigella flexneri G1663,Shigella flexneri G1663
Firmicutes_Tenericutes_3744,Bacteria,Firmicutes,Terrabacteria group,,,,,,,Terrabacteria group
Actinobacteria_2158,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,,,Micrococcus
Actinobacteria_2251,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Kytococcaceae,Kytococcus,Kytococcus sedentarius,Kytococcus sedentarius DSM 20547,Kytococcus sedentarius DSM 20547
Bacteroidetes_1024,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Mesoflavibacter,Mesoflavibacter sp. HG37,,Mesoflavibacter sp. HG37
Firmicutes_Tenericutes_3115,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Fictibacillus,,,Fictibacillus
Planctomycetes_18,Bacteria,Planctomycetes,PVC group,Planctomycetia,Isosphaerales,Isosphaeraceae,Singulisphaera,Singulisphaera acidiphila,Singulisphaera acidiphila DSM 18658,Singulisphaera acidiphila DSM 18658
Proteobacteria_1128,Bacteria,Proteobacteria,,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,,Vibrio alginolyticus
Proteobacteria_2136,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas fluorescens,Pseudomonas fluorescens A506,Pseudomonas fluorescens A506
Proteobacteria_2553,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas stutzeri,Pseudomonas stutzeri DSM 10701,Pseudomonas stutzeri DSM 10701
Proteobacteria_6161,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,Sphingomonas
Proteobacteria_6983,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Catenovulum,Catenovulum sediminis,,Catenovulum sediminis
Proteobacteria_8554,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_8631,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_9440,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca,,Klebsiella oxytoca
Firmicutes_Tenericutes_102,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus agnetis,,Staphylococcus agnetis
Firmicutes_Tenericutes_1592,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,,Enterococcus faecalis
Firmicutes_Tenericutes_2309,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus altitudinis,,Bacillus altitudinis
Firmicutes_Tenericutes_2790,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,,,Bacillus
Firmicutes_Tenericutes_972,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus mundtii,,Enterococcus mundtii
Proteobacteria_1977,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_8208,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Proteobacteria_8455,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella boydii,,Shigella boydii
Proteobacteria_9008,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Proteobacteria_9087,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,,Salmonella enterica
Chloroflexi_41,Bacteria,Chloroflexi,Terrabacteria group,Dehalococcoidia,,,,,,Dehalococcoidia
Firmicutes_Tenericutes_3759,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,,Peptacetobacter hiranonis
Planctomycetes_33,Bacteria,Planctomycetes,PVC group,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera,Anaerohalosphaera lusitana,,Anaerohalosphaera lusitana
Proteobacteria_2697,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Wenzhouxiangellaceae,Wenzhouxiangella,Wenzhouxiangella marina,,Wenzhouxiangella marina
Actinobacteria_2303,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,,Nocardioides
Actinobacteria_2316,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,Nocardioides sp. S-713,,Nocardioides sp. S-713
Actinobacteria_676,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,Dietzia sp. oral taxon 368,,Dietzia sp. oral taxon 368
Bacteroidetes_407,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,,Bacteroides uniformis
Bacteroidetes_419,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,,,,,Bacteroidales
Bacteroidetes_483,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Paludibacter propionicigenes,Paludibacter propionicigenes WB4,Paludibacter propionicigenes WB4
Bacteroidetes_861,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium commune,,Flavobacterium commune
Bacteroidetes_942,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Bacteroidetes_996,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Chlamydiae_43,Bacteria,Chlamydiae,PVC group,Chlamydiia,Parachlamydiales,,,,,Parachlamydiales
Firmicutes_Tenericutes_3458,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira eligens,[Eubacterium] eligens ATCC 27750,[Eubacterium] eligens ATCC 27750
Firmicutes_Tenericutes_3463,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna sp. CBA3638,,Anaerocolumna sp. CBA3638
Firmicutes_Tenericutes_3465,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,Anaerocolumna cellulosilytica,,Anaerocolumna cellulosilytica
Firmicutes_Tenericutes_3508,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Proteobacteria_1872,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,,,Acinetobacter
Proteobacteria_2822,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,Neisseriaceae,Vitreoscilla,Vitreoscilla sp. C1,,Vitreoscilla sp. C1
Proteobacteria_3272,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia pickettii,Ralstonia pickettii 12J,Ralstonia pickettii 12J
Proteobacteria_3781,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter tataouinensis,,Ramlibacter tataouinensis
Proteobacteria_4222,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,,,Thermomonas
Proteobacteria_5257,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Nitrospirillum,Nitrospirillum amazonense,Nitrospirillum amazonense CBAmc,Nitrospirillum amazonense CBAmc
Proteobacteria_5856,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,,Rhodobacteraceae
Proteobacteria_6010,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Parasedimentitalea,Parasedimentitalea marina,,Parasedimentitalea marina
Proteobacteria_6174,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. HDW15B,,Sphingomonas sp. HDW15B
Proteobacteria_6230,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. AAP5,,Sphingomonas sp. AAP5
Proteobacteria_6335,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Qipengyuania,Qipengyuania sediminis,,Qipengyuania sediminis
Proteobacteria_6510,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Gluconobacter,Gluconobacter oxydans,Gluconobacter oxydans H24,Gluconobacter oxydans H24
Proteobacteria_6622,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,Coxiella endosymbiont of Amblyomma americanum,,Coxiella endosymbiont of Amblyomma americanum
Proteobacteria_8520,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_8558,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,,Acinetobacter baumannii
Deferribacteres_6,Bacteria,Deferribacteres,,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,Flexistipes sinusarabici,Flexistipes sinusarabici DSM 4947,Flexistipes sinusarabici DSM 4947
Proteobacteria_5597,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Maritalea,Maritalea myrionectae,,Maritalea myrionectae
Proteobacteria_1666,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. NEB149,,Acinetobacter sp. NEB149
Proteobacteria_4275,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacula,Desulfobacula toluolica,Desulfobacula toluolica Tol2,Desulfobacula toluolica Tol2
Proteobacteria_8917,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli SE11,Escherichia coli SE11
Proteobacteria_8578,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Proteobacteria_8592,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Cyanobacteria_198,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,Cyanobacteria/Melainabacteria group
Proteobacteria_1551,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Microbulbiferaceae,Microbulbifer,Microbulbifer hydrolyticus,,Microbulbifer hydrolyticus
Proteobacteria_4234,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_4386,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,,,,,Myxococcales
Proteobacteria_6591,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Spiribacter,Spiribacter sp. 2438,,Spiribacter sp. 2438
Proteobacteria_6625,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Coxiella,,,Coxiella
