,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_6101,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomonadales,Hyphomonadaceae,,,,Hyphomonadaceae
Proteobacteria_6147,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,,,Caulobacteraceae
Proteobacteria_6566,Bacteria,Proteobacteria,SAR116 cluster,Alphaproteobacteria,,,Candidatus Puniceispirillum,Candidatus Puniceispirillum marinum,Candidatus Puniceispirillum marinum IMCC1322,Candidatus Puniceispirillum marinum IMCC1322
Proteobacteria_6955,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,Rheinheimera sp. D18,,Rheinheimera sp. D18
Proteobacteria_7158,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,Succinivibrio dextrinosolvens,,Succinivibrio dextrinosolvens
Firmicutes_Tenericutes_1561,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus cecorum,,Enterococcus cecorum
Firmicutes_Tenericutes_1575,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus faecalis ARO1/DG,Enterococcus faecalis ARO1/DG
Firmicutes_Tenericutes_1576,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,,Enterococcus faecalis
Firmicutes_Tenericutes_1587,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis,Enterococcus faecalis D32,Enterococcus faecalis D32
Firmicutes_Tenericutes_1924,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,,Limosilactobacillus fermentum
Firmicutes_Tenericutes_2251,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium maltaromaticum,Carnobacterium maltaromaticum LMA28,Carnobacterium maltaromaticum LMA28
Firmicutes_Tenericutes_2256,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,,,Carnobacterium
Firmicutes_Tenericutes_2274,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,,,Aerococcus
Firmicutes_Tenericutes_24,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Planococcaceae,Planococcus,Planococcus sp. PAMC 21323,,Planococcus sp. PAMC 21323
Firmicutes_Tenericutes_928,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,,Listeria monocytogenes
Firmicutes_Tenericutes_949,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria sp. PSOL-1,,Listeria sp. PSOL-1
Proteobacteria_1987,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_2002,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_2007,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa B136-33,Pseudomonas aeruginosa B136-33
Proteobacteria_2013,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,Pseudomonas aeruginosa PAO1,Pseudomonas aeruginosa PAO1
