,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
B234-P_Blank771_16S.16S.exp.,1.0,0.0,1.0,0.0,1570.7368421052636,147.89667643522222,1656576.1578947369,170558.6685146014,48.19423470615526,2.1404355362634666,0.7202929272965436,0.00707126668611101,0.2994462787739433,0.1089839339993219
B234-P_DockSlush3_16S.16S.exp.,1.0,0.0,1.0,0.0,1771.8888888888894,102.99196262642153,1615062.8125,49667.42488373156,37.28709288926217,7.020132179328561,0.6896628149746995,0.01786590095128135,0.5693513309641877,0.18163328112861085
B234-P_StationB52_16S.16S.exp.,1.0,0.0,1.0,0.0,1834.0,0.0,1585110.0,0.0,33.053478938370205,0.0,0.6788884697657417,1.199177923332954e-16,0.6788884697657417,1.199177923332954e-16
B234-P_StationB51_16S.16S.exp.,1.0,0.0,1.0,0.0,1753.058823529412,112.96780731781972,1624143.5294117648,54478.232486835564,38.570586711478285,7.700105126228229,0.6929292454226641,0.019596399609786996,0.5361432391103228,0.19922635690968402
B234-P_Carboy9_16S.16S.exp.,1.0,0.0,1.0,0.0,960.0,0.0,952257.0,0.0,39.355342097774034,0.0,0.7494936043479387,0.0,0.7494936043479387,0.0
B234-P_Station_B13_16S.16S.exp.,1.0,0.0,1.0,0.0,1760.4306418219464,113.46269960565036,1627477.4751552795,54835.390914561314,38.658952357142645,7.355786765046314,0.6923550859759505,0.018854361852338176,0.5286062904459021,0.1941742163558705
Barrow_S2C2_16S.16S.exp.,1.0,0.0,1.0,0.0,3600.0,0.0,3972634.0,0.0,65.29886719994846,0.0,0.0,0.0,0.0,0.0
B234-P_MQBlank121118_16S.16S.exp.,1.0,0.0,1.0,0.0,1443.5000000000002,284.2712797554956,1509843.0,327829.7534513913,46.35279874607583,4.114117800302696,0.7263764016822511,0.013591637613530924,0.3932061382685256,0.2094773401101084
B234-P_Station_B22_16S.16S.exp.,1.0,0.0,1.0,0.0,1707.0024330900246,194.8064251884165,1600178.7372262774,149020.47391117053,39.376813703952834,7.529902525358144,0.6973708587095935,0.02219408383017721,0.5255166109146792,0.20067490841340513
B234-P_Hero11_16S.16S.exp.,1.0,0.0,1.0,0.0,1775.0285714285712,101.69547555274586,1613548.7142857143,49042.199645738125,37.07308603020609,6.931761102655252,0.6891181777443567,0.0176410007838098,0.5748883731453651,0.1793468386225416
B234-P_Station_B21_16S.16S.exp.,1.0,0.0,1.0,0.0,1261.4025974025976,323.7622690111837,1299843.0779220778,373371.88940821047,43.71739299541673,4.6856513790311975,0.7350828806082894,0.015479789013928526,0.527392326791941,0.23857794919982597
B234-P_Core_6_16S.16S.exp.,1.0,0.0,1.0,0.0,1105.6666666666667,356.8090058654162,1057732.5,258361.1553649271,38.30503157120673,2.5727248615638123,0.7377260819175725,0.028824425491152845,0.7377260819175725,0.028824425491152845
B234-P_CTDSW_16S.16S.exp.,1.0,0.0,1.0,0.0,1831.3940269749519,108.84081586295603,1629016.5587668591,48639.687454314284,36.04425323934628,5.614875575218246,0.6839882709941516,0.015696952585610425,0.602458608874541,0.1554111550714434
