"","CultureID_short","Sample_type","molFractionN_pertotalN","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"907","StaB3","SW_Station B3",0.0301,3.02653721546667,"Ornithine †","C5H12N2O2","yes","no"
"908","StaB4","SW_Station B4",0.0308666666666667,4.40089132708333,"Ornithine †","C5H12N2O2","yes","no"
"909","StaB5","SW_Station B5",0.0109533333333333,3.3043087038,"Ornithine †","C5H12N2O2","yes","no"
"910","20ppt3C","Exp_Melted",0.000266,5.03638960083333,"Orotic acid †","C5H4N2O4","yes","no"
"911","35ppt0C","Exp_Ambient",0.000388333333333333,5.92183442183333,"Orotic acid †","C5H4N2O4","yes","no"
"912","50ppt-3C","Exp_Frozen",0.000145,6.15430778015333,"Orotic acid †","C5H4N2O4","yes","no"
"913","Hero1","Melted_hero",0.0001164,2.487340006,"Orotic acid †","C5H4N2O4","yes","no"
"914","StaB1","SW_Station B1",0.0003598,4.50595275168,"Orotic acid †","C5H4N2O4","yes","no"
"915","StaB2","SW_Station B2",0.000458333333333333,3.49105586,"Orotic acid †","C5H4N2O4","yes","no"
"916","StaB3","SW_Station B3",0.000392666666666667,3.02653721546667,"Orotic acid †","C5H4N2O4","yes","no"
"917","StaB4","SW_Station B4",0.000604333333333333,4.40089132708333,"Orotic acid †","C5H4N2O4","yes","no"
"918","StaB5","SW_Station B5",0.000415,3.3043087038,"Orotic acid †","C5H4N2O4","yes","no"
"919","20ppt3C","Exp_Melted",0,5.03638960083333,"PEP","C3H5O6P","no","no"
"920","35ppt0C","Exp_Ambient",0,5.92183442183333,"PEP","C3H5O6P","no","no"
"921","50ppt-3C","Exp_Frozen",0,6.15430778015333,"PEP","C3H5O6P","no","no"
"922","Hero1","Melted_hero",0,2.487340006,"PEP","C3H5O6P","no","no"
"923","StaB1","SW_Station B1",0,4.50595275168,"PEP","C3H5O6P","no","no"
"924","StaB2","SW_Station B2",0,3.49105586,"PEP","C3H5O6P","no","no"
"925","StaB3","SW_Station B3",0,3.02653721546667,"PEP","C3H5O6P","no","no"
"926","StaB4","SW_Station B4",0,4.40089132708333,"PEP","C3H5O6P","no","no"
"927","StaB5","SW_Station B5",0,3.3043087038,"PEP","C3H5O6P","no","no"
"928","20ppt3C","Exp_Melted",0.0317333333333333,5.03638960083333,"Phenylalanine †","C9H11NO2","yes","no"
"929","35ppt0C","Exp_Ambient",0.0391333333333333,5.92183442183333,"Phenylalanine †","C9H11NO2","yes","no"
"930","50ppt-3C","Exp_Frozen",0.0369333333333333,6.15430778015333,"Phenylalanine †","C9H11NO2","yes","no"
"931","Hero1","Melted_hero",0.00706333333333333,2.487340006,"Phenylalanine †","C9H11NO2","yes","no"
"932","StaB1","SW_Station B1",0.0357,4.50595275168,"Phenylalanine †","C9H11NO2","yes","no"
"933","StaB2","SW_Station B2",0.0277666666666667,3.49105586,"Phenylalanine †","C9H11NO2","yes","no"
"934","StaB3","SW_Station B3",0.026,3.02653721546667,"Phenylalanine †","C9H11NO2","yes","no"
"935","StaB4","SW_Station B4",0.0337,4.40089132708333,"Phenylalanine †","C9H11NO2","yes","no"
"936","StaB5","SW_Station B5",0.0191333333333333,3.3043087038,"Phenylalanine †","C9H11NO2","yes","no"
"937","20ppt3C","Exp_Melted",0,5.03638960083333,"3-Phosphoglycerate","C3H7O7P","no","no"
"938","35ppt0C","Exp_Ambient",0,5.92183442183333,"3-Phosphoglycerate","C3H7O7P","no","no"
"939","50ppt-3C","Exp_Frozen",0,6.15430778015333,"3-Phosphoglycerate","C3H7O7P","no","no"
"940","Hero1","Melted_hero",0,2.487340006,"3-Phosphoglycerate","C3H7O7P","no","no"
"941","StaB1","SW_Station B1",0,4.50595275168,"3-Phosphoglycerate","C3H7O7P","no","no"
"942","StaB2","SW_Station B2",0,3.49105586,"3-Phosphoglycerate","C3H7O7P","no","no"
"943","StaB3","SW_Station B3",0,3.02653721546667,"3-Phosphoglycerate","C3H7O7P","no","no"
"944","StaB4","SW_Station B4",0,4.40089132708333,"3-Phosphoglycerate","C3H7O7P","no","no"
"945","StaB5","SW_Station B5",0,3.3043087038,"3-Phosphoglycerate","C3H7O7P","no","no"
"946","20ppt3C","Exp_Melted",0.0311,5.03638960083333,"Proline †","C5H9NO2","yes","no"
"947","35ppt0C","Exp_Ambient",0.484717433333333,5.92183442183333,"Proline †","C5H9NO2","yes","no"
"948","50ppt-3C","Exp_Frozen",1.3710342,6.15430778015333,"Proline †","C5H9NO2","yes","no"
"949","Hero1","Melted_hero",0.0869640333333333,2.487340006,"Proline †","C5H9NO2","yes","no"
"950","StaB1","SW_Station B1",0.45195988,4.50595275168,"Proline †","C5H9NO2","yes","no"
"951","StaB2","SW_Station B2",0.4409363,3.49105586,"Proline †","C5H9NO2","yes","no"
"952","StaB3","SW_Station B3",0.3551041,3.02653721546667,"Proline †","C5H9NO2","yes","no"
"953","StaB4","SW_Station B4",0.5902685,4.40089132708333,"Proline †","C5H9NO2","yes","no"
"954","StaB5","SW_Station B5",0.393598,3.3043087038,"Proline †","C5H9NO2","yes","no"
"955","20ppt3C","Exp_Melted",6.93666666666667e-05,5.03638960083333,"O-Propionylcarnitine †","C10H19NO4","yes","no"
"956","35ppt0C","Exp_Ambient",4.26666666666667e-05,5.92183442183333,"O-Propionylcarnitine †","C10H19NO4","yes","no"
"957","50ppt-3C","Exp_Frozen",2.99333333333333e-05,6.15430778015333,"O-Propionylcarnitine †","C10H19NO4","yes","no"
"958","Hero1","Melted_hero",0.000268,2.487340006,"O-Propionylcarnitine †","C10H19NO4","yes","no"
