"","Full compound name","Meltwater_A","Meltwater_B","Meltwater_C","Meltwater_T-S_A","Meltwater_T-S_B","Meltwater_T-S_C","Sea ice_1_A","Sea ice_1_B","Sea ice_1_C","Sea ice_2","Sea ice_T-S_A","Sea ice_T-S_B","Sea ice_T-S_C","SW_08_A","SW_08_B","SW_08_C","SW_12_A","SW_12_B","SW_12_C","SW_15_A","SW_15_B","SW_15_C","SW_17_A","SW_17_B","SW_17_C","SW_19_A","SW_19_B","SW_19_C","SW_T-S_A","SW_T-S_B","SW_T-S_C"
"14","FAD",0.000318589127167581,0.000209029065336195,0.000226448154114212,2.25077576661435,2.10448467090051,1.04005146254962,0.696497638279002,0.000461954234392992,0.000461954234392992,0.490278734748556,0.290569213433192,0.244744149854225,0.000461954234392992,7.45087474827406e-05,6.999306581712e-05,7.6992372398832e-05,0.163173527802223,0.203419447322979,0.304336665287141,0.354228606724521,0.495945234566306,0.403440398875237,0.638656087107126,0.541433024614425,0.547093244829854,0.481269695818549,0.485226685323042,0.846189288391707,1.93426198640144,1.12922477334942,2.13050035532446
"15","Fructose 6 phosphate",0.405595535157966,1.25077402869465,1.30658421324551,89.7915239257166,79.156480793946,10.2662857698301,42.1642351560181,11.2224168435018,5.99497538790581,13.2541308567888,9.9242868847066,10.7826860024492,17.395386396711,5.28530689871604,4.55228417000356,3.93148849931977,5.72536678312243,4.08160935795359,7.39194517452698,7.1380235696491,9.73366922088625,11.26617374265,12.1184153205706,10.2670948464804,12.8124083703987,6.43216968115101,16.9100417193372,14.3424072627538,46.1715581422342,38.6524636447534,84.545333555234
"16","Gluconic Acid",0.31259029732299,0.562636607077678,0.496142080972565,10.0981173440816,7.44663995440409,6.65982064861133,29.2445734783871,6.08972312373909,6.5237465971071,4.7261652388482,0.667766850022236,0.705668203712691,1.01103767114061,0.398237614623021,0.38174623187989,0.354148513451492,0.583882242587416,0.34252948473999,0.561299351415212,0.565316247679778,0.812145526163356,0.857514096249437,0.993782489792655,0.979502637550115,1.32217954120138,0.935091223660122,1.45997076244354,1.58951583573616,6.95874062391976,4.66926956021799,11.0990670422211
"17","Glucose 1 phosphate",0.24965794706501,0.757867286424325,0.804247537398106,56.131948241139,48.4187793621971,6.31886654183608,26.8037843467291,7.04770329607395,3.77230486010534,8.3811557609092,6.33818332293754,6.4195823230693,10.5957853874965,3.34963763745807,2.88042141934094,2.4198187830472,3.32538950441858,2.60896006246486,4.54971896259404,4.39343101490926,5.93908113709478,6.69011343303342,7.41337043183092,6.25088815381538,7.78883429314585,4.1260198562781,10.2141638257924,9.00123120586433,27.9523643143091,23.7904695778219,51.8344283842884
"18","Glucose 6 phosphate",0.471147384979535,1.34490902941008,0.964334313742778,83.4397516931001,47.0481345713264,11.1979953535173,37.2911213935779,8.31839758376991,4.84321688339243,12.6324527209289,9.92224276231222,10.2922873159223,13.7365808279051,3.32302878752154,0.0130603828229615,3.61854351452442,7.32578471390091,4.18732096974479,8.01957913849873,0.22866481963674,10.2995977294404,9.57245043054597,14.0016639433772,15.7077199833544,0.0190316465307894,8.26548440779644,0.0210826490228679,17.156560360543,51.7069302808373,0.494986891246539,124.106840780606
"19","glycerol 3 phosphate",0.802222367627814,1.0694691753512,0.922423396845693,7.40714545550415,3.88093550442726,0.218093154618736,19.0242935239527,9.4209403813797,6.19597919205749,11.9392055126643,25.6710849316129,24.2678339104547,35.9592503881622,5.62767458557184,7.01392417838279,5.43866830674734,9.16168445872347,9.8092951288464,9.53086734668845,0.122294576534367,24.9674325570676,15.0131783714327,30.6564221411475,0.326067591171382,19.1486646953253,0.366766393768158,24.0915744825086,25.3036738824673,18.4212334606705,26.9079010702544,36.5567516380103
"20","GMP",0.652142660790842,0.454320886298002,0.697560412462455,8.3699847849484,6.81136909820732,0.0122023019642655,366.727399911645,26.5858046874567,22.1710016675332,32.6174939821936,3.7260476428778,4.63692856283144,4.70189037771043,1.02896227194013,1.1855329647058,1.19880080233137,2.07194353396358,1.54833701448124,2.18200713935674,1.78945118621358,2.50668230364234,2.66351650998674,3.28321914238431,3.31065365395968,3.27455750108864,2.64563276143947,2.82859167150411,3.14120243600058,16.5911440853429,17.2694468758039,15.7829959261634
"21","Inosine",0.098154019369225,0.241847563197472,0.195332885824973,12.0531990115036,8.07376277559387,3.80826776700071,31.78027630987,3.69685703159097,1.32522447594283,13.3959888181876,7.13179569026952,4.62915971720211,10.6810137888241,1.67859433298165,1.47915938189053,1.46536217056126,1.98331435189899,2.4257994008452,2.20079495024039,3.65317049594413,5.3949951530646,5.86210235756869,6.88269025916551,3.62177033386346,7.80980442996937,9.010068658493,13.2615560448602,11.5339255857903,3.88743428300942,9.83410153015848,14.2046208476382
"22","Isethionic Acid",0.346881999286913,0.903653455063055,1.00297369123613,126.393101341649,122.29726852136,93.6430323436859,123.958642940752,60.4058674795138,41.5611623098731,57.3226416575498,62.2616308096835,61.2808383873358,70.4740298391067,11.5764188676904,10.2428154804776,11.8864543653856,12.4055040165974,9.46712018648657,12.4722610008669,12.2404942041575,12.4776007550449,11.7785933026801,17.5136897321271,16.6629625986138,17.4349003530065,17.7172878594725,17.680869364462,18.9021662976881,157.178820594667,105.544398904759,100.919877610422
"23","Ketoglutaric Acid",0.274878169952995,0.277760394043339,0.286536395492911,2.63849056702586,6.78084222824168,2.31184425505319,13.1954507248956,2.78233666291212,1.58366591638923,5.47444420876822,1.3055301385912,1.05127423444024,1.68594302785509,0.836532482459485,0.846330499528314,1.18745008927115,1.2421867817503,1.32616650722543,2.38543365354098,1.53072701866931,1.89945547003832,2.25258754747062,4.08911116928528,3.84502399932742,3.32413526422069,2.25318566397969,1.35030861589314,2.91518361083562,2.74287426099369,1.68719290916252,2.68016488280106
