"","CultureID_short","Sample_type","molFractionC_pertotalC","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"78","StaB2","SW_Station B2",0.001213,3.01257189273333,"Acetylglutamic acid †","C7H11NO5","yes","no"
"79","StaB3","SW_Station B3",0.00102033333333333,2.55934740726667,"Acetylglutamic acid †","C7H11NO5","yes","no"
"80","StaB4","SW_Station B4",0.00134333333333333,3.64243740004,"Acetylglutamic acid †","C7H11NO5","yes","no"
"81","StaB5","SW_Station B5",0.000879333333333333,3.12584895483333,"Acetylglutamic acid †","C7H11NO5","yes","no"
"82","20ppt3C","Exp_Melted",0.000195333333333333,2.48661013953333,"Aconitic acid","C6H6O6","no","no"
"83","35ppt0C","Exp_Ambient",0.000232333333333333,4.03353305183333,"Aconitic acid","C6H6O6","no","no"
"84","50ppt-3C","Exp_Frozen",0.000124666666666667,3.98563384757333,"Aconitic acid","C6H6O6","no","no"
"85","Hero1","Melted_hero",0.000181266666666667,1.34416321036667,"Aconitic acid","C6H6O6","no","no"
"86","StaB1","SW_Station B1",0.0001666,3.53316924234,"Aconitic acid","C6H6O6","no","no"
"87","StaB2","SW_Station B2",5.51e-05,3.01257189273333,"Aconitic acid","C6H6O6","no","no"
"88","StaB3","SW_Station B3",0.000102133333333333,2.55934740726667,"Aconitic acid","C6H6O6","no","no"
"89","StaB4","SW_Station B4",4.93666666666667e-05,3.64243740004,"Aconitic acid","C6H6O6","no","no"
"90","StaB5","SW_Station B5",6.89666666666667e-05,3.12584895483333,"Aconitic acid","C6H6O6","no","no"
"91","20ppt3C","Exp_Melted",0.00124,2.48661013953333,"Adenine †","C5H5N5","yes","no"
"92","35ppt0C","Exp_Ambient",0.00164333333333333,4.03353305183333,"Adenine †","C5H5N5","yes","no"
"93","50ppt-3C","Exp_Frozen",0.00121666666666667,3.98563384757333,"Adenine †","C5H5N5","yes","no"
"94","Hero1","Melted_hero",0.00488333333333333,1.34416321036667,"Adenine †","C5H5N5","yes","no"
"95","StaB1","SW_Station B1",0.002202,3.53316924234,"Adenine †","C5H5N5","yes","no"
"96","StaB2","SW_Station B2",0.00116166666666667,3.01257189273333,"Adenine †","C5H5N5","yes","no"
"97","StaB3","SW_Station B3",0.000853666666666667,2.55934740726667,"Adenine †","C5H5N5","yes","no"
"98","StaB4","SW_Station B4",0.000805,3.64243740004,"Adenine †","C5H5N5","yes","no"
"99","StaB5","SW_Station B5",0.00192,3.12584895483333,"Adenine †","C5H5N5","yes","no"
"100","20ppt3C","Exp_Melted",0.0146666666666667,2.48661013953333,"Adenosine †","C10H13N5O4","yes","no"
"101","35ppt0C","Exp_Ambient",0.00653,4.03353305183333,"Adenosine †","C10H13N5O4","yes","no"
"102","50ppt-3C","Exp_Frozen",0.0140666666666667,3.98563384757333,"Adenosine †","C10H13N5O4","yes","no"
"103","Hero1","Melted_hero",0.00584666666666667,1.34416321036667,"Adenosine †","C10H13N5O4","yes","no"
"104","StaB1","SW_Station B1",0.004586,3.53316924234,"Adenosine †","C10H13N5O4","yes","no"
"105","StaB2","SW_Station B2",0.00429666666666667,3.01257189273333,"Adenosine †","C10H13N5O4","yes","no"
"106","StaB3","SW_Station B3",0.00353,2.55934740726667,"Adenosine †","C10H13N5O4","yes","no"
"107","StaB4","SW_Station B4",0.00497,3.64243740004,"Adenosine †","C10H13N5O4","yes","no"
"108","StaB5","SW_Station B5",0.00376333333333333,3.12584895483333,"Adenosine †","C10H13N5O4","yes","no"
