"","SampID","Identification","CultureID_short","Sample_type","nmolCave","total_mmol"
"140","20ppt3C_B","4-Hydroxyisoleucine","20ppt3C","Exp_Melted",0.76417539,2817.90629494
"141","20ppt3C_B","6-Methyladenine","20ppt3C","Exp_Melted",0.004310604,2817.90629494
"142","20ppt3C_B","7-dehydrocholesterol","20ppt3C","Exp_Melted",0.106502013,2817.90629494
"143","20ppt3C_B","Acetyl-L-carnitine","20ppt3C","Exp_Melted",2.404632469,2817.90629494
"144","20ppt3C_B","Acetylglutamic acid","20ppt3C","Exp_Melted",0.061926737,2817.90629494
"145","20ppt3C_B","Aconitic Acid","20ppt3C","Exp_Melted",0.288324925,2817.90629494
"146","20ppt3C_B","Adenine","20ppt3C","Exp_Melted",1.347817282,2817.90629494
"147","20ppt3C_B","Adenosine","20ppt3C","Exp_Melted",20.25671191,2817.90629494
"148","20ppt3C_B","Adenosyl Homocysteine","20ppt3C","Exp_Melted",1.637241409,2817.90629494
"149","20ppt3C_B","Adenosyl Methionine","20ppt3C","Exp_Melted",12.63856148,2817.90629494
"150","20ppt3C_B","ADP","20ppt3C","Exp_Melted",2.364900201,2817.90629494
"151","20ppt3C_B","Agmatine","20ppt3C","Exp_Melted",0.031249873,2817.90629494
"152","20ppt3C_B","Alanine","20ppt3C","Exp_Melted",127.4300316,2817.90629494
"153","20ppt3C_B","Amino Propanesulfonic Acid","20ppt3C","Exp_Melted",1.9e-05,2817.90629494
"154","20ppt3C_B","AMP","20ppt3C","Exp_Melted",26.47775497,2817.90629494
"155","20ppt3C_B","Anserine","20ppt3C","Exp_Melted",0.031826449,2817.90629494
"156","20ppt3C_B","Arginine","20ppt3C","Exp_Melted",224.9347854,2817.90629494
"157","20ppt3C_B","Argininosuccinic Acid","20ppt3C","Exp_Melted",0.980846876,2817.90629494
"158","20ppt3C_B","Asparagine","20ppt3C","Exp_Melted",67.61015289,2817.90629494
"159","20ppt3C_B","Aspartic acid","20ppt3C","Exp_Melted",154.4149585,2817.90629494
"160","20ppt3C_B","beta-Alanine","20ppt3C","Exp_Melted",5.709959563,2817.90629494
"161","20ppt3C_B","beta-Glutamic acid","20ppt3C","Exp_Melted",5.623874302,2817.90629494
"162","20ppt3C_B","Betaine","20ppt3C","Exp_Melted",17.91508693,2817.90629494
"163","20ppt3C_B","Betonicine","20ppt3C","Exp_Melted",0.028360999,2817.90629494
"164","20ppt3C_B","Butyryl-L-carnitine","20ppt3C","Exp_Melted",0.056964818,2817.90629494
"165","20ppt3C_B","C14-HSL","20ppt3C","Exp_Melted",0.027543113,2817.90629494
"166","20ppt3C_B","cAMP","20ppt3C","Exp_Melted",1.598791995,2817.90629494
"167","20ppt3C_B","Carnitine","20ppt3C","Exp_Melted",1.211667063,2817.90629494
"168","20ppt3C_B","Carotene","20ppt3C","Exp_Melted",0.693178446,2817.90629494
"169","20ppt3C_B","cGMP","20ppt3C","Exp_Melted",0.980632981,2817.90629494
"170","20ppt3C_B","Chitobiose","20ppt3C","Exp_Melted",1.054731082,2817.90629494
"171","20ppt3C_B","Choline","20ppt3C","Exp_Melted",41.76415431,2817.90629494
"172","20ppt3C_B","Citric Acid","20ppt3C","Exp_Melted",39.65471054,2817.90629494
"173","20ppt3C_B","Citrulline","20ppt3C","Exp_Melted",2.234383249,2817.90629494
"174","20ppt3C_B","Creatine","20ppt3C","Exp_Melted",0.015628359,2817.90629494
"175","20ppt3C_B","Cys-Gly","20ppt3C","Exp_Melted",30.3019557,2817.90629494
"176","20ppt3C_B","Cystathionine","20ppt3C","Exp_Melted",0.133098432,2817.90629494
"177","20ppt3C_B","Cysteic Acid","20ppt3C","Exp_Melted",1.491851153,2817.90629494
"178","20ppt3C_B","Cysteinesulfinic acid","20ppt3C","Exp_Melted",0.046101313,2817.90629494
"179","20ppt3C_B","Cystine","20ppt3C","Exp_Melted",0.445756298,2817.90629494
"180","20ppt3C_B","Cytidine","20ppt3C","Exp_Melted",3.942586066,2817.90629494
"181","20ppt3C_B","Cytosine","20ppt3C","Exp_Melted",0.776637296,2817.90629494
"182","20ppt3C_B","Deoxyadenosine","20ppt3C","Exp_Melted",0.448207192,2817.90629494
"183","20ppt3C_B","Desthiobiotin","20ppt3C","Exp_Melted",0.002585344,2817.90629494
"184","20ppt3C_B","DHAP","20ppt3C","Exp_Melted",4.729272133,2817.90629494
"185","20ppt3C_B","DHPS","20ppt3C","Exp_Melted",60.31414606,2817.90629494
"186","20ppt3C_B","Dimethylsulfonioacetate (DMS-Ac)","20ppt3C","Exp_Melted",0.412914481,2817.90629494
"187","20ppt3C_B","DMSP","20ppt3C","Exp_Melted",1.553353047,2817.90629494
"188","20ppt3C_B","Ectoine","20ppt3C","Exp_Melted",0.083833572,2817.90629494
"189","20ppt3C_B","Ethyl Dihydroxybenzoate","20ppt3C","Exp_Melted",0.11821462,2817.90629494
"190","20ppt3C_B","FAD","20ppt3C","Exp_Melted",2.104484671,2817.90629494
"191","20ppt3C_B","Fructose 6 phosphate","20ppt3C","Exp_Melted",79.15648079,2817.90629494
"192","20ppt3C_B","Gluconic Acid","20ppt3C","Exp_Melted",7.446639954,2817.90629494
"193","20ppt3C_B","Glucose 1 phosphate","20ppt3C","Exp_Melted",48.41877936,2817.90629494
"194","20ppt3C_B","Glucose 6 phosphate","20ppt3C","Exp_Melted",47.04813457,2817.90629494
"195","20ppt3C_B","Glucosylglycerol","20ppt3C","Exp_Melted",267.930744,2817.90629494
"196","20ppt3C_B","Glutamic acid","20ppt3C","Exp_Melted",92.41622715,2817.90629494
"197","20ppt3C_B","Glutamine","20ppt3C","Exp_Melted",270.4369767,2817.90629494
"198","20ppt3C_B","Glutathione","20ppt3C","Exp_Melted",1.277703429,2817.90629494
"199","20ppt3C_B","Glutathione Disulfide","20ppt3C","Exp_Melted",19.03566747,2817.90629494
"200","20ppt3C_B","glycerol 3 phosphate","20ppt3C","Exp_Melted",3.880935504,2817.90629494
"201","20ppt3C_B","Glycerophosphocholine","20ppt3C","Exp_Melted",108.532332,2817.90629494
"202","20ppt3C_B","Glycine","20ppt3C","Exp_Melted",2.92335843,2817.90629494
"203","20ppt3C_B","GMP","20ppt3C","Exp_Melted",6.811369098,2817.90629494
"204","20ppt3C_B","Gonyol","20ppt3C","Exp_Melted",8.7886582,2817.90629494
"205","20ppt3C_B","Guanine","20ppt3C","Exp_Melted",2.490025871,2817.90629494
"206","20ppt3C_B","Guanosine","20ppt3C","Exp_Melted",12.04409568,2817.90629494
"207","20ppt3C_B","Histidine","20ppt3C","Exp_Melted",8.942033327,2817.90629494
"208","20ppt3C_B","Homarine","20ppt3C","Exp_Melted",13.23280324,2817.90629494
"209","20ppt3C_B","Homoserine","20ppt3C","Exp_Melted",15.67530713,2817.90629494
"210","20ppt3C_B","Hydroxo B12","20ppt3C","Exp_Melted",0.365846177,2817.90629494
