"","Sample1","Sample2","Metabolite distance (Euclidean)","Eukaryotic distance (Bray-Curtis)","Prokaryotic distance (Bray-Curtis)"
"48","Sea ice_2","Meltwater_C",0.133019352335027,0.729653506969883,0.903714699134748
"49","Meltwater_A","Meltwater_C",0.167407680114845,0.695439735786137,0.889455353756244
"50","Meltwater_B","Meltwater_C",0.0293342714883385,0.489825710908758,0.705352667950035
"51","Meltwater_C","Meltwater_C",0,0,0
"52","SW_08_A","Meltwater_C",0.191532761702254,0.703302679353392,0.892659686923263
"53","SW_08_B","Meltwater_C",0.209010311553601,0.721463383330975,0.893446369034474
"54","SW_08_C","Meltwater_C",0.209164004090971,0.750944216247842,0.890189473604503
"55","SW_12_A","Meltwater_C",0.223589690765213,0.688132496083482,0.85096479157758
"56","SW_12_B","Meltwater_C",0.204766498058197,0.672297803700727,0.888516844090896
"57","SW_12_C","Meltwater_C",0.196413596455341,0.674791665352529,0.887597806276308
"58","SW_15_A","Meltwater_C",0.177254027736593,0.691586848018099,0.895522809352095
"59","SW_15_B","Meltwater_C",0.229947907881447,0.695409975226563,0.891363198501013
"60","SW_15_C","Meltwater_C",0.208145257593283,0.685999313941239,0.896268862007846
"61","SW_17_A","Meltwater_C",0.236274651567582,0.726312084835573,0.889762386226993
"62","SW_17_B","Meltwater_C",0.232928728954172,0.709746516921218,0.879972333294474
"63","SW_17_C","Meltwater_C",0.236775833266719,0.730715727426002,0.891868456227061
"64","SW_19_A","Meltwater_C",0.23347480050622,0.731121996364713,0.882525467445326
"65","SW_19_B","Meltwater_C",0.249323365195659,0.742593984719474,0.891330756956087
"66","SW_19_C","Meltwater_C",0.256809572811516,0.738749392637671,0.886715635161649
"67","Sea ice_1_A","Sea ice_1_A",0,0,0
"68","Sea ice_1_B","Sea ice_1_A",0.124179478438222,0.47473910965016,0.559522965923952
"69","Sea ice_1_C","Sea ice_1_A",0.124360390781518,0.371137136044539,0.42598259125665
"70","Sea ice_2","Sea ice_1_A",0.0979330523631595,0.536096656553906,0.515366055336644
"71","Meltwater_A","Sea ice_1_A",0.266588997375803,0.60933528234478,0.685649913999657
"72","Meltwater_B","Sea ice_1_A",0.185146007086349,0.746146887746826,0.834421208828435
"73","Meltwater_C","Sea ice_1_A",0.183091490681957,0.751535851565108,0.877347803821069
"74","SW_08_A","Sea ice_1_A",0.166559277981171,0.586059457415364,0.690053055480443
"75","SW_08_B","Sea ice_1_A",0.17609108634265,0.582749946254544,0.692004852554228
"76","SW_08_C","Sea ice_1_A",0.18050857928968,0.571205836681238,0.674908132507457
"77","SW_12_A","Sea ice_1_A",0.202684922528863,0.609174425224447,0.773586775074008
"78","SW_12_B","Sea ice_1_A",0.204898715217662,0.524327380624349,0.56119981886674
"79","SW_12_C","Sea ice_1_A",0.197240983360958,0.572755919492064,0.6652691255569
"80","SW_15_A","Sea ice_1_A",0.197977593464806,0.610089442007267,0.694544999122911
"81","SW_15_B","Sea ice_1_A",0.206713279607966,0.616548271424393,0.706304885721508
"82","SW_15_C","Sea ice_1_A",0.19631192354066,0.604907751351436,0.716077079831953
"83","SW_17_A","Sea ice_1_A",0.212537061360759,0.61418798130266,0.695001694937874
"84","SW_17_B","Sea ice_1_A",0.216181052207634,0.559151060534792,0.578732712131101
