"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"33","Corethron_inerme.17","Rhizosolenia_pungens.12",0.711462450592885,0.000140956443217252,0.000786287642436372,0.711462450592885,0.000140956443217252,0.00103200253069774,0.0455378404282182,0.76,1
"34","Marinomonas.5","Rhizosolenia_pungens.12",0.859683794466403,1.47440623482217e-07,2.04917476704098e-06,0.83399209486166,7.64875174709043e-07,1.11999579153824e-05,-0.0340066921915202,0.78,1
"35","Flavobacteriaceae.11","Rhizosolenia_pungens.12",0.903066712780059,3.69824354693861e-09,6.45225469891416e-08,0.819980618723624,1.67732381711153e-06,2.25476316398599e-05,0.0716972987534432,0.96,1
"36","Rhizosolenia_pungens.12","Rhizosolenia_pungens.12",1,0,0,1,0,0,1,1,1
"37","Porosira_pseudodelicatula.10","Thalassiosira_tumida.5",0.685446030315221,0.000306669584111583,0.00147057929223098,0.610328657129991,0.00198309031030912,0.00864964922581636,-0.015479024601208,0.76,1
"38","Stellarima_microtrias.4","Thalassiosira_tumida.5",0.812947887432255,2.42667856651312e-06,2.61825845334311e-05,0.771435654882523,1.63414227028092e-05,0.000165431686621032,0.0648792820427012,0.9,1
"39","Polar.centric.Mediophyceae.4","Thalassiosira_tumida.5",0.765941670785961,2.04239113234323e-05,0.000163995088475539,0.743697478991597,4.75799736423736e-05,0.000415059344539855,0.060978980633927,0.84,1
"40","Marinomonas.9","Thalassiosira_tumida.5",0.742214532871972,5.01881228559005e-05,0.000353258459124326,0.722936233316856,9.74020762397997e-05,0.000767977908813806,-0.0394596559901106,0.96,1
"41","Corethron_inerme.17","Thalassiosira_tumida.5",0.655300242392201,0.000688885093115634,0.00287925099502428,0.625648647713821,0.00140848355313208,0.00667604921137751,-0.0587512931508438,0.98,1
"42","Marinomonas.5","Thalassiosira_tumida.5",0.808500148230498,3.04136192636051e-06,3.15685668305775e-05,0.770447268393244,1.70179099987318e-05,0.000170179099987318,-0.0278404881740307,0.82,1
"43","Flavobacteriaceae.11","Thalassiosira_tumida.5",0.882513228362141,2.53720085633103e-08,4.0009705811374e-07,0.857779113217462,1.68377696276102e-07,2.77510978412911e-06,0.0723489672824382,0.92,1
"44","Rhizosolenia_pungens.12","Thalassiosira_tumida.5",0.928589106677938,1.67653489110682e-10,3.1244513879718e-09,0.881146555192529,2.84697907467536e-08,5.30573373007681e-07,-0.127747406886054,NA,NA
"45","Thalassiosira_tumida.5","Thalassiosira_tumida.5",1,7.4693800584569e-166,1.57048503793196e-164,1,7.4693800584569e-166,1.57048503793196e-164,1,1,1
"46","Polaribacter.sp..L3A8.9","Porosira_pseudodelicatula.10",0.184782608695652,0.398629838074202,0.494518104721401,0.0395256916996047,0.857892938600224,0.900732662806893,-0.0195483143473611,0.88,1
"47","Polaribacter.sp..L3A8.9","Stellarima_microtrias.4",0.327075098814229,0.127664399673939,0.196775954384643,0.220355731225296,0.312330182026203,0.424024419307097,-0.0859948987058436,0.94,1
"48","Polar.centric.Mediophyceae.4","Polaribacter.sp..L3A8.9",0.295033367049882,0.171727177423707,0.252812002670448,0.108228320576087,0.623039218373491,0.713536535008746,0.0172617594076165,0.94,1
"49","Marinomonas.9","Polaribacter.sp..L3A8.9",0.361255261831598,0.0903318877111682,0.15055314618528,0.34247591853529,0.109671263188395,0.18932723329365,0.0901269118601304,0.92,1
"50","Corethron_inerme.17","Polaribacter.sp..L3A8.9",0.320158102766798,0.136401977517582,0.208286073676755,0.228260869565217,0.294839847187006,0.407704341810025,0.0590905207295915,0.92,1
"51","Marinomonas.5","Polaribacter.sp..L3A8.9",0.238142292490119,0.273850672880941,0.368127134036674,0.208498023715415,0.339725347838477,0.450040040755333,-0.0882075575641848,0.94,1
"52","Flavobacteriaceae.11","Polaribacter.sp..L3A8.9",0.0494560083669255,0.822685298737438,0.869514790043871,0.00494560083669255,0.982132371689383,0.984533673331655,0.0682634700554953,0.94,1
"53","Polaribacter.sp..L3A8.9","Rhizosolenia_pungens.12",0.260869565217391,0.22925772495928,0.321352708489931,0.139328063241107,0.526057652305819,0.620672337972333,-0.0118927287347383,0.96,1
"54","Polaribacter.sp..L3A8.9","Thalassiosira_tumida.5",0.0741289866959503,0.736759626214686,0.808758893568999,-0.00938967164815371,0.966083529653106,0.975001847587589,-0.029727722682798,0.82,1
"55","Polaribacter.sp..L3A8.9","Polaribacter.sp..L3A8.9",1,0,0,1,0,0,1,1,1
"56","Glaciecola.amylolytica.2","Porosira_pseudodelicatula.10",0.4199604743083,0.0460336666634965,0.087378719129785,0.350790513833992,0.100766572144795,0.176556814441736,0.0124242720630658,0.94,1
"57","Glaciecola.amylolytica.2","Stellarima_microtrias.4",0.673913043478261,0.000422462846877459,0.00188271486108433,0.652173913043478,0.000745479446966975,0.00402166543758499,-0.0982465785869624,0.8,1
"58","Glaciecola.amylolytica.2","Polar.centric.Mediophyceae.4",0.589078347610485,0.0031007690839332,0.00975578979640463,0.527798385275166,0.00964070275878695,0.0277991670777456,-0.0442000814653463,0.96,1
"59","Glaciecola.amylolytica.2","Marinomonas.9",0.684951837070581,0.000310997816111678,0.0014811761793695,0.585124801653368,0.00335851329409826,0.0124614520414505,-0.0864958661013342,0.94,1
"60","Corethron_inerme.17","Glaciecola.amylolytica.2",0.724308300395257,9.30793299162877e-05,0.000561213606848205,0.708498023715415,0.000154646299786812,0.00110269535500162,-0.0108131153346133,0.98,1
"61","Glaciecola.amylolytica.2","Marinomonas.5",0.682806324110672,0.00033040727249418,0.00153745785039801,0.621541501976285,0.00154645158641578,0.0071241028138255,-0.102451753303817,0.96,1
"62","Flavobacteriaceae.11","Glaciecola.amylolytica.2",0.595450340737783,0.00272051452100332,0.0087827634142627,0.492581843334578,0.0169445528531241,0.0424909276439199,0.030558852240901,0.94,1
"63","Glaciecola.amylolytica.2","Rhizosolenia_pungens.12",0.699604743083004,0.000202888865311041,0.00104634509154122,0.659090909090909,0.000625250610251599,0.00351168150963227,0.0122385389780175,0.74,1
"64","Glaciecola.amylolytica.2","Thalassiosira_tumida.5",0.545095148837555,0.00714865793546466,0.0190321412567566,0.511490008202057,0.0126079332937298,0.0342334612611206,0.052528634664434,0.76,1
"65","Glaciecola.amylolytica.2","Polaribacter.sp..L3A8.9",0.41798418972332,0.0471748548678924,0.0889273126245329,0.218379446640316,0.316799614877157,0.429381296197138,-0.0958370684072197,0.94,1
"66","Glaciecola.amylolytica.2","Glaciecola.amylolytica.2",1,0,0,1,0,0,1,1,1
"67","Flavobacteriaceae.10","Porosira_pseudodelicatula.10",0.393377822733176,0.063304481234148,0.111815515695359,0.289103048114206,0.180912563480479,0.279375333435015,-0.142172996991413,0.86,1
"68","Flavobacteriaceae.10","Stellarima_microtrias.4",0.558932559687465,0.00556351531288822,0.0158854869220854,0.502594529798543,0.014518284304257,0.0369720283524558,-0.113868875415791,NA,NA
"69","Flavobacteriaceae.10","Polar.centric.Mediophyceae.4",0.682649530400395,0.000331865901854205,0.00153745785039801,0.601581809194266,0.00239258838485444,0.00975298770020216,0.0476783216635185,0.92,1
"70","Flavobacteriaceae.10","Marinomonas.9",0.780029658922392,1.13867661092339e-05,9.62592598924929e-05,0.661393969352447,0.000589112776406299,0.00333153432174597,0.108563873672931,NA,NA
"71","Corethron_inerme.17","Flavobacteriaceae.10",0.73091180882207,7.453193350317e-05,0.000466535766966407,0.698295054675852,0.000210995691404038,0.00141816776189599,0.0730800241158009,0.8,1
"72","Flavobacteriaceae.10","Marinomonas.5",0.685446030315221,0.000306669584111583,0.00147057929223098,0.629108000426298,0.00130055595587171,0.00623658411587604,-0.0294927138080563,0.92,1
"73","Flavobacteriaceae.10","Flavobacteriaceae.11",0.483799292229918,0.0193347704769113,0.0435563510743607,0.36655958644414,0.0853610572242949,0.155893244819425,-0.0321609671923572,0.92,1
"74","Flavobacteriaceae.10","Rhizosolenia_pungens.12",0.606375111172874,0.00216013280983847,0.00720732327150276,0.546083535326834,0.00702421616720555,0.021900597935774,0.0219330536746832,0.98,1
"75","Flavobacteriaceae.10","Thalassiosira_tumida.5",0.425358378645576,0.0430261828045926,0.083605378909398,0.324023727137914,0.131467762777526,0.216908582449842,-0.00750991969422746,0.88,1
