"","SampleID","variable","value","superkingdom","phylum","clade","class","order","family","genus","species","strain","taxon"
"45","B53","archaea_173",10,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"46","Barrow_Blank1","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"47","Barrow_Blank2","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"48","Barrow_S1IC4","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"49","Barrow_S1IC5","archaea_173",8,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"50","Barrow_S1IC6","archaea_173",12,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"51","Barrow_S2C1D","archaea_173",9,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"52","Barrow_S2C2","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"53","Barrow_S2C3","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"54","mock_1","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"55","mock_2","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"56","mock_3","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"57","mock_4","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"58","B31","Firmicutes_Tenericutes_748",551,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"59","B32","Firmicutes_Tenericutes_748",304,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"60","B33","Firmicutes_Tenericutes_748",549,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"61","B41","Firmicutes_Tenericutes_748",408,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"62","B42","Firmicutes_Tenericutes_748",715,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"63","B43","Firmicutes_Tenericutes_748",523,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"64","blank771","Firmicutes_Tenericutes_748",37,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"65","blank772","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"66","blankdry1","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"67","blankdry2","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"68","blankFiltSW1","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"69","blankFiltSW2","Firmicutes_Tenericutes_748",0,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"70","blankMQ191118","Firmicutes_Tenericutes_748",38,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"71","Carboy1","Firmicutes_Tenericutes_748",1040,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"72","Carboy2","Firmicutes_Tenericutes_748",997,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"73","Carboy3","Firmicutes_Tenericutes_748",1133,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"74","Carboy4","Firmicutes_Tenericutes_748",1323,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"75","Carboy5","Firmicutes_Tenericutes_748",435,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"76","Carboy6","Firmicutes_Tenericutes_748",985,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"77","Carboy7","Firmicutes_Tenericutes_748",480,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"78","Carboy8","Firmicutes_Tenericutes_748",288,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"79","Carboy9","Firmicutes_Tenericutes_748",542,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"80","core_1","Firmicutes_Tenericutes_748",374,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"81","core_2","Firmicutes_Tenericutes_748",443,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"82","core_3","Firmicutes_Tenericutes_748",323,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"83","core_4","Firmicutes_Tenericutes_748",27,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
"84","core_6","Firmicutes_Tenericutes_748",44,"Bacteria","Tenericutes","Terrabacteria group","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasmopsis","Mycoplasma californicum","","Mycoplasma californicum"
