"","SampleID","variable","value","variable2"
"183","blankFiltSW2","Bacteroidetes_1039",0,"Flavobacteriia"
"184","blankMQ191118","Bacteroidetes_1039",279,"Flavobacteriia"
"185","Carboy1","Bacteroidetes_1039",326.5,"Flavobacteriia"
"186","Carboy2","Bacteroidetes_1039",462,"Flavobacteriia"
"187","Carboy3","Bacteroidetes_1039",117.5,"Flavobacteriia"
"188","Carboy4","Bacteroidetes_1039",139,"Flavobacteriia"
"189","Carboy5","Bacteroidetes_1039",138.5,"Flavobacteriia"
"190","Carboy6","Bacteroidetes_1039",325,"Flavobacteriia"
"191","Carboy7","Bacteroidetes_1039",89,"Flavobacteriia"
"192","Carboy8","Bacteroidetes_1039",540.5,"Flavobacteriia"
"193","Carboy9","Bacteroidetes_1039",185.5,"Flavobacteriia"
"194","core_1","Bacteroidetes_1039",373.5,"Flavobacteriia"
"195","core_2","Bacteroidetes_1039",177,"Flavobacteriia"
"196","core_3","Bacteroidetes_1039",247.5,"Flavobacteriia"
"197","core_4","Bacteroidetes_1039",295,"Flavobacteriia"
"198","core_6","Bacteroidetes_1039",351.5,"Flavobacteriia"
"199","CTDSW","Bacteroidetes_1039",45,"Flavobacteriia"
"200","dockslush_1","Bacteroidetes_1039",86.5,"Flavobacteriia"
"201","dockslush_2","Bacteroidetes_1039",0,"Flavobacteriia"
"202","dockslush_3","Bacteroidetes_1039",61,"Flavobacteriia"
"203","Hero11","Bacteroidetes_1039",62.5,"Flavobacteriia"
"204","Hero12","Bacteroidetes_1039",83,"Flavobacteriia"
"205","Hero13","Bacteroidetes_1039",0,"Flavobacteriia"
"206","iceslush","Bacteroidetes_1039",495.5,"Flavobacteriia"
"207","blankMQ121118","Bacteroidetes_1039",225.5,"Flavobacteriia"
"208","B12","Bacteroidetes_1039",134.5,"Flavobacteriia"
"209","B13","Bacteroidetes_1039",227.5,"Flavobacteriia"
"210","B14","Bacteroidetes_1039",84.5,"Flavobacteriia"
"211","B21","Bacteroidetes_1039",49.5,"Flavobacteriia"
"212","B22","Bacteroidetes_1039",243,"Flavobacteriia"
"213","B23","Bacteroidetes_1039",85,"Flavobacteriia"
"214","B51","Bacteroidetes_1039",59.5,"Flavobacteriia"
"215","B52","Bacteroidetes_1039",59,"Flavobacteriia"
"216","B53","Bacteroidetes_1039",65.5,"Flavobacteriia"
"217","Barrow_Blank1","Bacteroidetes_1039",182.5,"Flavobacteriia"
"218","Barrow_Blank2","Bacteroidetes_1039",0,"Flavobacteriia"
"219","Barrow_S1IC4","Bacteroidetes_1039",172,"Flavobacteriia"
"220","Barrow_S1IC5","Bacteroidetes_1039",171.5,"Flavobacteriia"
"221","Barrow_S1IC6","Bacteroidetes_1039",184,"Flavobacteriia"
"222","Barrow_S2C1D","Bacteroidetes_1039",161.5,"Flavobacteriia"
"223","Barrow_S2C2","Bacteroidetes_1039",23,"Flavobacteriia"
"224","Barrow_S2C3","Bacteroidetes_1039",158.5,"Flavobacteriia"
"225","mock_1","Bacteroidetes_1039",0,"Flavobacteriia"
"226","mock_2","Bacteroidetes_1039",0,"Flavobacteriia"
"227","mock_3","Bacteroidetes_1039",0,"Flavobacteriia"
"228","mock_4","Bacteroidetes_1039",0,"Flavobacteriia"
"229","B31","Bacteroidetes_1111",83.2732240437159,"Flavobacteriia"
"230","B32","Bacteroidetes_1111",64.5300546448088,"Flavobacteriia"
"231","B33","Bacteroidetes_1111",60.5136612021858,"Flavobacteriia"
"232","B41","Bacteroidetes_1111",62.120218579235,"Flavobacteriia"
"233","B42","Bacteroidetes_1111",55.9617486338798,"Flavobacteriia"
"234","B43","Bacteroidetes_1111",74.9726775956284,"Flavobacteriia"
"235","blank771","Bacteroidetes_1111",8.30054644808743,"Flavobacteriia"
"236","blank772","Bacteroidetes_1111",0,"Flavobacteriia"
