"","SampleID","variable","value","variable2"
"179","blank772","Bacteroidetes_1039",0,""
"180","blankdry1","Bacteroidetes_1039",0,""
"181","blankdry2","Bacteroidetes_1039",0,""
"182","blankFiltSW1","Bacteroidetes_1039",0,""
"183","blankFiltSW2","Bacteroidetes_1039",0,""
"184","blankMQ191118","Bacteroidetes_1039",279,""
"185","Carboy1","Bacteroidetes_1039",326.5,""
"186","Carboy2","Bacteroidetes_1039",462,""
"187","Carboy3","Bacteroidetes_1039",117.5,""
"188","Carboy4","Bacteroidetes_1039",139,""
"189","Carboy5","Bacteroidetes_1039",138.5,""
"190","Carboy6","Bacteroidetes_1039",325,""
"191","Carboy7","Bacteroidetes_1039",89,""
"192","Carboy8","Bacteroidetes_1039",540.5,""
"193","Carboy9","Bacteroidetes_1039",185.5,""
"194","core_1","Bacteroidetes_1039",373.5,""
"195","core_2","Bacteroidetes_1039",177,""
"196","core_3","Bacteroidetes_1039",247.5,""
"197","core_4","Bacteroidetes_1039",295,""
"198","core_6","Bacteroidetes_1039",351.5,""
"199","CTDSW","Bacteroidetes_1039",45,""
"200","dockslush_1","Bacteroidetes_1039",86.5,""
"201","dockslush_2","Bacteroidetes_1039",0,""
"202","dockslush_3","Bacteroidetes_1039",61,""
"203","Hero11","Bacteroidetes_1039",62.5,""
"204","Hero12","Bacteroidetes_1039",83,""
"205","Hero13","Bacteroidetes_1039",0,""
"206","iceslush","Bacteroidetes_1039",495.5,""
"207","blankMQ121118","Bacteroidetes_1039",225.5,""
"208","B12","Bacteroidetes_1039",134.5,""
"209","B13","Bacteroidetes_1039",227.5,""
"210","B14","Bacteroidetes_1039",84.5,""
"211","B21","Bacteroidetes_1039",49.5,""
"212","B22","Bacteroidetes_1039",243,""
"213","B23","Bacteroidetes_1039",85,""
"214","B51","Bacteroidetes_1039",59.5,""
"215","B52","Bacteroidetes_1039",59,""
"216","B53","Bacteroidetes_1039",65.5,""
"217","Barrow_Blank1","Bacteroidetes_1039",182.5,""
"218","Barrow_Blank2","Bacteroidetes_1039",0,""
"219","Barrow_S1IC4","Bacteroidetes_1039",172,""
"220","Barrow_S1IC5","Bacteroidetes_1039",171.5,""
"221","Barrow_S1IC6","Bacteroidetes_1039",184,""
"222","Barrow_S2C1D","Bacteroidetes_1039",161.5,""
"223","Barrow_S2C2","Bacteroidetes_1039",23,""
