"","SampleID","variable","value","variable2"
"202","dockslush_3","Bacteroidetes_1039",61,"Flavobacteriaceae"
"203","Hero11","Bacteroidetes_1039",62.5,"Flavobacteriaceae"
"204","Hero12","Bacteroidetes_1039",83,"Flavobacteriaceae"
"205","Hero13","Bacteroidetes_1039",0,"Flavobacteriaceae"
"206","iceslush","Bacteroidetes_1039",495.5,"Flavobacteriaceae"
"207","blankMQ121118","Bacteroidetes_1039",225.5,"Flavobacteriaceae"
"208","B12","Bacteroidetes_1039",134.5,"Flavobacteriaceae"
"209","B13","Bacteroidetes_1039",227.5,"Flavobacteriaceae"
"210","B14","Bacteroidetes_1039",84.5,"Flavobacteriaceae"
"211","B21","Bacteroidetes_1039",49.5,"Flavobacteriaceae"
"212","B22","Bacteroidetes_1039",243,"Flavobacteriaceae"
"213","B23","Bacteroidetes_1039",85,"Flavobacteriaceae"
"214","B51","Bacteroidetes_1039",59.5,"Flavobacteriaceae"
"215","B52","Bacteroidetes_1039",59,"Flavobacteriaceae"
"216","B53","Bacteroidetes_1039",65.5,"Flavobacteriaceae"
"217","Barrow_Blank1","Bacteroidetes_1039",182.5,"Flavobacteriaceae"
"218","Barrow_Blank2","Bacteroidetes_1039",0,"Flavobacteriaceae"
"219","Barrow_S1IC4","Bacteroidetes_1039",172,"Flavobacteriaceae"
"220","Barrow_S1IC5","Bacteroidetes_1039",171.5,"Flavobacteriaceae"
"221","Barrow_S1IC6","Bacteroidetes_1039",184,"Flavobacteriaceae"
"222","Barrow_S2C1D","Bacteroidetes_1039",161.5,"Flavobacteriaceae"
"223","Barrow_S2C2","Bacteroidetes_1039",23,"Flavobacteriaceae"
"224","Barrow_S2C3","Bacteroidetes_1039",158.5,"Flavobacteriaceae"
"225","mock_1","Bacteroidetes_1039",0,"Flavobacteriaceae"
"226","mock_2","Bacteroidetes_1039",0,"Flavobacteriaceae"
"227","mock_3","Bacteroidetes_1039",0,"Flavobacteriaceae"
"228","mock_4","Bacteroidetes_1039",0,"Flavobacteriaceae"
"229","B31","Bacteroidetes_1111",83.2732240437159,"Flavobacteriaceae"
"230","B32","Bacteroidetes_1111",64.5300546448088,"Flavobacteriaceae"
"231","B33","Bacteroidetes_1111",60.5136612021858,"Flavobacteriaceae"
"232","B41","Bacteroidetes_1111",62.120218579235,"Flavobacteriaceae"
"233","B42","Bacteroidetes_1111",55.9617486338798,"Flavobacteriaceae"
