"","SampleID","variable","value"
"223","dockslush_3","Amastigomonas_sp.",0
"224","B14","Amastigomonas_sp.",98
"225","blank771","Amastigomonas_sp.",147
"226","core_4","Amastigomonas_sp.",134
"227","mock_3","Amastigomonas_sp.",0
"228","hero_13","Amastigomonas_sp.",0
"229","Carboy4","Amastigomonas_sp.",0
"230","Carboy7","Amastigomonas_sp.",0
"231","Barrow_S2C3","Amastigomonas_sp.",1640
"232","Carboy2","Amastigomonas_sp.",0
"233","Barrow_S1IC6","Amastigomonas_sp.",730
"234","B22","Amastigomonas_sp.",0
"235","Barrow_S2C1D","Amastigomonas_sp.",1277
"236","Barrow_S1IC5","Amastigomonas_sp.",649
"237","Carboy1","Amastigomonas_sp.",0
"238","B21","Amastigomonas_sp.",0
"239","B32","Amastigomonas_sp.",0
"240","Carboy8","Amastigomonas_sp.",0
"241","B31","Amastigomonas_sp.",0
"242","B42","Amastigomonas_sp.",0
"243","blankMQ121118","Amastigomonas_sp.",63
"244","Barrow_blank1","Amastigomonas_sp.",0
"245","B41","Amastigomonas_sp.",0
"246","Barrow_blank2","Amastigomonas_sp.",1057
"247","blankdry2","Amastigomonas_sp.",0
"248","blankFiltSW1","Amastigomonas_sp.",0
"249","core_3","Amastigomonas_sp.",263
"250","B53","Amastigomonas_sp.",0
"251","dockslush_2","Amastigomonas_sp.",0
"252","B13","Amastigomonas_sp.",0
"253","dockslush_1","Amastigomonas_sp.",0
"254","mock_1","Amastigomonas_sp.",0
"255","core_6","Amastigomonas_sp.",11
"256","mock_2","Amastigomonas_sp.",0
"257","hero_11","Amastigomonas_sp.",0
"258","hero_12","Amastigomonas_sp.",0
"259","Carboy6","Amastigomonas_sp.",0
"260","Carboy5","Amastigomonas_sp.",0
"261","blankMQ191118","Amastigomonas_sp.",19
"262","Barrow_S1IC4","Amastigomonas_sp.",212
"263","iceslush","Amastigomonas_sp.",0
"264","Barrow_S2C2","Amastigomonas_sp.",3036
