"","SampleID","variable","value","variable2"
"211","B21","Bacteroidetes_1039",49.5,"Bacteroidetes"
"212","B22","Bacteroidetes_1039",243,"Bacteroidetes"
"213","B23","Bacteroidetes_1039",85,"Bacteroidetes"
"214","B51","Bacteroidetes_1039",59.5,"Bacteroidetes"
"215","B52","Bacteroidetes_1039",59,"Bacteroidetes"
"216","B53","Bacteroidetes_1039",65.5,"Bacteroidetes"
"217","Barrow_Blank1","Bacteroidetes_1039",182.5,"Bacteroidetes"
"218","Barrow_Blank2","Bacteroidetes_1039",0,"Bacteroidetes"
"219","Barrow_S1IC4","Bacteroidetes_1039",172,"Bacteroidetes"
"220","Barrow_S1IC5","Bacteroidetes_1039",171.5,"Bacteroidetes"
"221","Barrow_S1IC6","Bacteroidetes_1039",184,"Bacteroidetes"
"222","Barrow_S2C1D","Bacteroidetes_1039",161.5,"Bacteroidetes"
"223","Barrow_S2C2","Bacteroidetes_1039",23,"Bacteroidetes"
"224","Barrow_S2C3","Bacteroidetes_1039",158.5,"Bacteroidetes"
"225","mock_1","Bacteroidetes_1039",0,"Bacteroidetes"
"226","mock_2","Bacteroidetes_1039",0,"Bacteroidetes"
"227","mock_3","Bacteroidetes_1039",0,"Bacteroidetes"
"228","mock_4","Bacteroidetes_1039",0,"Bacteroidetes"
"229","B31","Bacteroidetes_1111",83.2732240437159,"Bacteroidetes"
"230","B32","Bacteroidetes_1111",64.5300546448088,"Bacteroidetes"
"231","B33","Bacteroidetes_1111",60.5136612021858,"Bacteroidetes"
"232","B41","Bacteroidetes_1111",62.120218579235,"Bacteroidetes"
"233","B42","Bacteroidetes_1111",55.9617486338798,"Bacteroidetes"
"234","B43","Bacteroidetes_1111",74.9726775956284,"Bacteroidetes"
"235","blank771","Bacteroidetes_1111",8.30054644808743,"Bacteroidetes"
"236","blank772","Bacteroidetes_1111",0,"Bacteroidetes"
"237","blankdry1","Bacteroidetes_1111",0,"Bacteroidetes"
"238","blankdry2","Bacteroidetes_1111",0,"Bacteroidetes"
"239","blankFiltSW1","Bacteroidetes_1111",0,"Bacteroidetes"
"240","blankFiltSW2","Bacteroidetes_1111",0,"Bacteroidetes"
"241","blankMQ191118","Bacteroidetes_1111",4.28415300546448,"Bacteroidetes"
"242","Carboy1","Bacteroidetes_1111",18.4754098360656,"Bacteroidetes"
"243","Carboy2","Bacteroidetes_1111",13.655737704918,"Bacteroidetes"
"244","Carboy3","Bacteroidetes_1111",22.7595628415301,"Bacteroidetes"
"245","Carboy4","Bacteroidetes_1111",18.4754098360656,"Bacteroidetes"
"246","Carboy5","Bacteroidetes_1111",18.7431693989071,"Bacteroidetes"
"247","Carboy6","Bacteroidetes_1111",12.8524590163934,"Bacteroidetes"
"248","Carboy7","Bacteroidetes_1111",22.7595628415301,"Bacteroidetes"
"249","Carboy8","Bacteroidetes_1111",29.9890710382514,"Bacteroidetes"
"250","Carboy9","Bacteroidetes_1111",36.6830601092896,"Bacteroidetes"
"251","core_1","Bacteroidetes_1111",8.0327868852459,"Bacteroidetes"
"252","core_2","Bacteroidetes_1111",62.655737704918,"Bacteroidetes"
"253","core_3","Bacteroidetes_1111",17.1366120218579,"Bacteroidetes"
"254","core_4","Bacteroidetes_1111",0,"Bacteroidetes"
"255","core_6","Bacteroidetes_1111",0,"Bacteroidetes"
"256","CTDSW","Bacteroidetes_1111",140.03825136612,"Bacteroidetes"
"257","dockslush_1","Bacteroidetes_1111",140.03825136612,"Bacteroidetes"
"258","dockslush_2","Bacteroidetes_1111",0,"Bacteroidetes"
"259","dockslush_3","Bacteroidetes_1111",94.7868852459017,"Bacteroidetes"
"260","Hero11","Bacteroidetes_1111",84.0765027322404,"Bacteroidetes"
"261","Hero12","Bacteroidetes_1111",29.7213114754098,"Bacteroidetes"
"262","Hero13","Bacteroidetes_1111",0,"Bacteroidetes"
"263","iceslush","Bacteroidetes_1111",5.08743169398907,"Bacteroidetes"
"264","blankMQ121118","Bacteroidetes_1111",3.48087431693989,"Bacteroidetes"
"265","B12","Bacteroidetes_1111",126.918032786885,"Bacteroidetes"
"266","B13","Bacteroidetes_1111",163.333333333333,"Bacteroidetes"
"267","B14","Bacteroidetes_1111",83.2732240437159,"Bacteroidetes"
"268","B21","Bacteroidetes_1111",53.016393442623,"Bacteroidetes"
"269","B22","Bacteroidetes_1111",209.92349726776,"Bacteroidetes"
"270","B23","Bacteroidetes_1111",95.5901639344262,"Bacteroidetes"
"271","B51","Bacteroidetes_1111",39.0928961748634,"Bacteroidetes"
"272","B52","Bacteroidetes_1111",34.0054644808743,"Bacteroidetes"
"273","B53","Bacteroidetes_1111",49,"Bacteroidetes"
"274","Barrow_Blank1","Bacteroidetes_1111",16.0655737704918,"Bacteroidetes"
"275","Barrow_Blank2","Bacteroidetes_1111",0,"Bacteroidetes"
"276","Barrow_S1IC4","Bacteroidetes_1111",3.21311475409836,"Bacteroidetes"
"277","Barrow_S1IC5","Bacteroidetes_1111",19.0109289617486,"Bacteroidetes"
"278","Barrow_S1IC6","Bacteroidetes_1111",51.9453551912568,"Bacteroidetes"
"279","Barrow_S2C1D","Bacteroidetes_1111",43.3770491803279,"Bacteroidetes"
"280","Barrow_S2C2","Bacteroidetes_1111",18.207650273224,"Bacteroidetes"
"281","Barrow_S2C3","Bacteroidetes_1111",16.8688524590164,"Bacteroidetes"
"282","mock_1","Bacteroidetes_1111",0,"Bacteroidetes"
"283","mock_2","Bacteroidetes_1111",0,"Bacteroidetes"
"284","mock_3","Bacteroidetes_1111",0,"Bacteroidetes"
"285","mock_4","Bacteroidetes_1111",0,"Bacteroidetes"
"286","B31","Bacteroidetes_1124",557.2,"Bacteroidetes"
"287","B32","Bacteroidetes_1124",402,"Bacteroidetes"
"288","B33","Bacteroidetes_1124",461.2,"Bacteroidetes"
"289","B41","Bacteroidetes_1124",589.8,"Bacteroidetes"
"290","B42","Bacteroidetes_1124",641.2,"Bacteroidetes"
"291","B43","Bacteroidetes_1124",656,"Bacteroidetes"
"292","blank771","Bacteroidetes_1124",1199,"Bacteroidetes"
"293","blank772","Bacteroidetes_1124",0,"Bacteroidetes"
"294","blankdry1","Bacteroidetes_1124",0,"Bacteroidetes"
"295","blankdry2","Bacteroidetes_1124",0,"Bacteroidetes"
"296","blankFiltSW1","Bacteroidetes_1124",0,"Bacteroidetes"
"297","blankFiltSW2","Bacteroidetes_1124",0,"Bacteroidetes"
"298","blankMQ191118","Bacteroidetes_1124",864.4,"Bacteroidetes"
"299","Carboy1","Bacteroidetes_1124",2264,"Bacteroidetes"
"300","Carboy2","Bacteroidetes_1124",2833.2,"Bacteroidetes"
"301","Carboy3","Bacteroidetes_1124",1039.8,"Bacteroidetes"
"302","Carboy4","Bacteroidetes_1124",1062.2,"Bacteroidetes"
"303","Carboy5","Bacteroidetes_1124",1046.6,"Bacteroidetes"
"304","Carboy6","Bacteroidetes_1124",2274.2,"Bacteroidetes"
"305","Carboy7","Bacteroidetes_1124",2869,"Bacteroidetes"
"306","Carboy8","Bacteroidetes_1124",3715,"Bacteroidetes"
"307","Carboy9","Bacteroidetes_1124",3149.8,"Bacteroidetes"
"308","core_1","Bacteroidetes_1124",1624.6,"Bacteroidetes"
"309","core_2","Bacteroidetes_1124",1555.4,"Bacteroidetes"
"310","core_3","Bacteroidetes_1124",1697.4,"Bacteroidetes"
"311","core_4","Bacteroidetes_1124",993.2,"Bacteroidetes"
"312","core_6","Bacteroidetes_1124",1414.4,"Bacteroidetes"
"313","CTDSW","Bacteroidetes_1124",269,"Bacteroidetes"
"314","dockslush_1","Bacteroidetes_1124",558.8,"Bacteroidetes"
"315","dockslush_2","Bacteroidetes_1124",1198.4,"Bacteroidetes"
"316","dockslush_3","Bacteroidetes_1124",689.6,"Bacteroidetes"
"317","Hero11","Bacteroidetes_1124",632.4,"Bacteroidetes"
"318","Hero12","Bacteroidetes_1124",403.4,"Bacteroidetes"
"319","Hero13","Bacteroidetes_1124",374.4,"Bacteroidetes"
"320","iceslush","Bacteroidetes_1124",472.6,"Bacteroidetes"
"321","blankMQ121118","Bacteroidetes_1124",725.2,"Bacteroidetes"
"322","B12","Bacteroidetes_1124",726.6,"Bacteroidetes"
"323","B13","Bacteroidetes_1124",924.2,"Bacteroidetes"
"324","B14","Bacteroidetes_1124",1549.4,"Bacteroidetes"
"325","B21","Bacteroidetes_1124",308,"Bacteroidetes"
"326","B22","Bacteroidetes_1124",1507.6,"Bacteroidetes"
"327","B23","Bacteroidetes_1124",416.4,"Bacteroidetes"
"328","B51","Bacteroidetes_1124",1010.6,"Bacteroidetes"
"329","B52","Bacteroidetes_1124",916.6,"Bacteroidetes"
"330","B53","Bacteroidetes_1124",1126.4,"Bacteroidetes"
"331","Barrow_Blank1","Bacteroidetes_1124",1648.6,"Bacteroidetes"
"332","Barrow_Blank2","Bacteroidetes_1124",0,"Bacteroidetes"
"333","Barrow_S1IC4","Bacteroidetes_1124",543,"Bacteroidetes"
"334","Barrow_S1IC5","Bacteroidetes_1124",701.4,"Bacteroidetes"
"335","Barrow_S1IC6","Bacteroidetes_1124",1652,"Bacteroidetes"
"336","Barrow_S2C1D","Bacteroidetes_1124",1449.2,"Bacteroidetes"
"337","Barrow_S2C2","Bacteroidetes_1124",424.4,"Bacteroidetes"
"338","Barrow_S2C3","Bacteroidetes_1124",832.2,"Bacteroidetes"
"339","mock_1","Bacteroidetes_1124",0,"Bacteroidetes"
"340","mock_2","Bacteroidetes_1124",0,"Bacteroidetes"
"341","mock_3","Bacteroidetes_1124",0,"Bacteroidetes"
"342","mock_4","Bacteroidetes_1124",0,"Bacteroidetes"
"343","B31","Bacteroidetes_1149",23,"Bacteroidetes"
"344","B32","Bacteroidetes_1149",25,"Bacteroidetes"
"345","B33","Bacteroidetes_1149",19.5,"Bacteroidetes"
"346","B41","Bacteroidetes_1149",28.5,"Bacteroidetes"
"347","B42","Bacteroidetes_1149",37,"Bacteroidetes"
"348","B43","Bacteroidetes_1149",28.5,"Bacteroidetes"
"349","blank771","Bacteroidetes_1149",374,"Bacteroidetes"
"350","blank772","Bacteroidetes_1149",0,"Bacteroidetes"
"351","blankdry1","Bacteroidetes_1149",0,"Bacteroidetes"
"352","blankdry2","Bacteroidetes_1149",0,"Bacteroidetes"
"353","blankFiltSW1","Bacteroidetes_1149",0,"Bacteroidetes"
