SampID,CultureID_short,Sample_type,Site,Ice_or_no,Temp,Exp_group,Withinexp,Melt_hyp,FigureID,Figure_SampID,Figure_SampID_metab,FigureID_separated,FigureID_rep,FigureID_rep_amp,Average,Average_YN,Average_YN_2,Average_2,Sample_group,Salinity
Ev32Core_B,Ev32Core,Core,Sea ice,Ice,,Field,,Low salinity,Sea ice,Core1_B,Core1_B,Sea ice_1,Sea ice_1_B,Sea ice_1_B,Sea ice_1_B,N,N,Sea ice_1_B,Field,12
Ev32Core_C,Ev32Core,Core,Sea ice,Ice,,Field,,Low salinity,Sea ice,Core1_C,Core1_C,Sea ice_1,Sea ice_1_C,Sea ice_1_C,Sea ice_1_C,N,N,Sea ice_1_C,Field,12
Ev37Core_A,Ev37Core,Core,Sea ice,Ice,,Field,,Low salinity,Sea ice,Core_3,Core_3,Sea ice_3,Sea ice_3,Sea ice_3,Sea ice_3,N,N,Sea ice_3,Field,20
Ev51Slush_A,Ev51Slush,CoreSlush,Underice,Underice,,Field,,Low salinity,Sea ice,,,Sea-ice core,,,,,,,Field,
EvXCore_A,EvXCore,Core,Sea ice,Ice,,Field,,Low salinity,Sea ice,Core_2,Core_2,Sea ice_2,Sea ice_2,Sea ice_2,Sea ice_2,N,N,Sea ice_2,Field,15
EvXSW_A,EvXSW,Underice_SW,Underice,Underice,,Field,,Not,Sea ice,,,Sea-ice core,,,,,,,Field,
Hero1_A,Hero,Melted_hero,Meltwater,Field_melt,-0.7,Field,,Low salinity,Meltwater,Hero_A,Hero_A,Meltwater,Meltwater_A,Meltwater_A,Meltwater,Y,Y,Meltwater,Field,25
Hero1_B,Hero,Melted_hero,Meltwater,Field_melt,-0.7,Field,,Low salinity,Meltwater,Hero_B,Hero_B,Meltwater,Meltwater_B,Meltwater_B,Meltwater,Y,Y,Meltwater,Field,25
Hero1_C,Hero,Melted_hero,Meltwater,Field_melt,-0.7,Field,,Low salinity,Meltwater,Hero_C,Hero_C,Meltwater,Meltwater_C,Meltwater_C,Meltwater,Y,Y,Meltwater,Field,25
StaB1_A,StaB1,SW_Station B1,Seawater,Field,-0.9,Field,,Ambient SW salinity,SW_08,SW1_A_cut,SW1_A,SW_08,SW_08_A,SW_08_A_cut,SW_08,Y,Y,SW_08,Field,35.7
StaB1_B,StaB1,SW_Station B1,Seawater,Field,-0.9,Field,,Ambient SW salinity,SW_08,SW1_A,SW1_B,SW_08,SW_08_B,SW_08_A,SW_08,Y,Y,SW_08,Field,35.7
StaB1_C,StaB1,SW_Station B1,Seawater,Field,-0.9,Field,,Ambient SW salinity,SW_08,SW1_B,SW1_C,SW_08,SW_08_C,SW_08_B,SW_08,Y,Y,SW_08,Field,35.7
StaB1_D,StaB1,SW_Station B1,Seawater,Field,-0.9,Field,,Ambient SW salinity,SW_08,SW1_C,SW1_C,SW_08,SW_08_D,SW_08_C,SW_08,Y,Y,SW_08,Field,35.7
StaB1_E,StaB1,SW_Station B1,Seawater,Field,-0.9,Field,,Ambient SW salinity,SW_08,SW1_D,SW1_D,SW_08,SW_08_E,SW_08_E,SW_08,Y,Y,SW_08,Field,35.7
StaB2_A,StaB2,SW_Station B2,Seawater,Field,-0.7,Field,,Ambient SW salinity,SW_12,SW2_A,SW2_A,SW_12,SW_12_A,SW_12_A,SW_12,Y,Y,SW_12,Field,35.2
StaB2_B,StaB2,SW_Station B2,Seawater,Field,-0.7,Field,,Ambient SW salinity,SW_12,SW2_B,SW2_B,SW_12,SW_12_B,SW_12_B,SW_12,Y,Y,SW_12,Field,35.2
StaB2_C,StaB2,SW_Station B2,Seawater,Field,-0.7,Field,,Ambient SW salinity,SW_12,SW2_C,SW2_C,SW_12,SW_12_C,SW_12_C,SW_12,Y,Y,SW_12,Field,35.2
StaB3_A,StaB3,SW_Station B3,Seawater,Field,-0.3,Field,,Ambient SW salinity,SW_15,SW3_A,SW3_A,SW_15,SW_15_A,SW_15_A,SW_15,Y,Y,SW_15,Field,35.2
