"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"150","Corethron_inerme.17","Planktoniella_sol.2",0.254940711462451,0.240397449642172,0.33966190981737,0.191699604743083,0.380890268696146,0.516140021186702,-0.0283404979800715,0.96,1
"151","Planktoniella_sol.2","Polar.centric.Mediophyceae.5",0.390906856509978,0.0651320177787208,0.12144097683247,0.285149502157089,0.187220569823481,0.306467304419778,-0.0275081962186126,0.94,1
"152","Pentapharsodinium_dalei.4","Planktoniella_sol.2",0.553223134681092,0.00617769210130755,0.0175853133998932,0.628979816186971,0.00130442533724232,0.00654885671361411,-0.0271069382361813,0.92,1
"153","Planktoniella_sol.2","Planktoniella_sol.2",1,0,0,1,0,0,1,1,1
"154","Cryptophyceae.4","Glaciecola.amylolytica.5",0.322134387351779,0.133863110045157,0.215766197112259,0.173913043478261,0.427416097396636,0.55999797839989,-0.0694674670402921,0.94,1
"155","Cryptophyceae.4","Polaribacter.sp..L3A8.58",-0.16798418972332,0.443577511682095,0.548317307578776,-0.311264822134387,0.148253370313044,0.267333422920342,-0.0392589359295051,0.92,1
"156","Cryptophyceae.4","Rhizosolenia_pungens.15",0.645910570744047,0.000870959762280131,0.00331343387823963,0.660242174838597,0.000606954492785742,0.00359188045247601,0.0209790489421243,0.98,1
"157","Cryptophyceae.4","Placidiales_XX_sp.",0.523350646073409,0.0103859253313559,0.0273607710342172,0.437361021506107,0.0368899057373341,0.097602882350398,-0.11251698737225,0.96,1
"158","Cryptophyceae.4","Pseudopedinella_elastica.4",0.47788486756656,0.0210928418952691,0.0491230633492484,0.43291328230435,0.0390776255544862,0.101775038186203,-0.0196886950052546,0.8,1
"159","Cryptophyceae.4","Porosira_pseudodelicatula.11",0.360671936758893,0.0908914228308428,0.159515749237511,0.299407114624506,0.165163412755478,0.285366968442117,-0.0882635604824526,0.94,1
"160","Cryptophyceae.4","Fragilariopsis_sublineata.15",0.547566115060753,0.00684093193419528,0.0191327434232631,0.431430702570431,0.0398291032813334,0.102933863965471,0.00810767007636533,0.74,1
"161","Cryptophyceae.4","Thalassiosira_tumida.10",0.567828038090979,0.00470860303720327,0.0141373498053284,0.457128751291694,0.0283077916086794,0.0791713349786125,0.0912568315451739,0.98,1
"162","Cryptophyceae.4","NA..12",0.295691842835731,0.17072760721384,0.261426648546192,0.0232789223003004,0.91603477068026,0.941564329640737,0.0271254297718307,0.78,1
"163","Cryptophyceae.4","Stellarima_microtrias.4",0.262845849802372,0.225621415509708,0.324016686986391,0.204545454545455,0.349164355806198,0.488272072902503,-0.133637262562726,0.8,1
"164","Cryptophyceae.4","Rhizosolenia_pungens.14",0.458498023715415,0.0277781817187576,0.0620953879662008,0.409090909090909,0.0525852318582503,0.124838970981311,0.0226898139800681,0.78,1
"165","Cryptophyceae.4","Thalassiosira_tumida.6",0.44773907964354,0.0321601198282606,0.0703502621243201,0.421546837677638,0.0451333055156792,0.112374591985177,-0.0530194922418563,0.98,1
"166","Corethron_inerme.19","Cryptophyceae.4",0.146389784766099,0.50508237938281,0.608383396995027,0.00791296133870808,0.971415248439283,0.979410435669236,0.0175172504303624,0.9,1
"167","Corethron_inerme.17","Cryptophyceae.4",0.0563241106719368,0.798522610763953,0.854314583568421,-0.00592885375494071,0.978580768622327,0.984204796028203,0.0114903745017556,0.98,1
"168","Cryptophyceae.4","Polar.centric.Mediophyceae.5",0.295527560294522,0.170976610281,0.261481083138858,0.13392636929735,0.542375406633265,0.662054613885716,-0.00641202924058703,0.82,1
"169","Cryptophyceae.4","Pentapharsodinium_dalei.4",0.619510230998736,0.00161883415315283,0.0056018978463622,0.672340548364679,0.000440854416252645,0.00278374566963655,-0.0863456674370497,0.74,1
"170","Cryptophyceae.4","Planktoniella_sol.2",0.75395256916996,3.25697051815727e-05,0.000192743424383703,0.697628458498024,0.000215228730685331,0.0015328790412182,-0.0338457479649283,0.94,1
"171","Cryptophyceae.4","Cryptophyceae.4",1,0,0,1,0,0,1,1,1
"172","Glaciecola.amylolytica.5","Strombidiidae_M_X_sp..8",0.311341744122991,0.148147839806791,0.235384051573695,0.210032128971859,0.336103046725484,0.477640640648165,-0.0244746154811537,0.74,1
"173","Polaribacter.sp..L3A8.58","Strombidiidae_M_X_sp..8",-0.10427477461897,0.635863151360668,0.72123366705261,-0.273288864285737,0.207041325634927,0.32641650437939,0.0235759642652889,1,1
"174","Rhizosolenia_pungens.15","Strombidiidae_M_X_sp..8",0.521008403361344,0.010797045059548,0.0282012370958344,0.354918437963421,0.0965493497272758,0.197121589026521,-0.0383389737886437,0.92,1
"175","Placidiales_XX_sp.","Strombidiidae_M_X_sp..8",0.428571428571428,0.0413104132870756,0.0842017575318928,0.309935739001483,0.150085166241074,0.268982758520096,-0.0560225674329223,0.9,1
"176","Pseudopedinella_elastica.4","Strombidiidae_M_X_sp..8",0.398418190805734,0.0596984981317019,0.113470892753496,0.225407810182897,0.301080753029181,0.442223227290705,-0.0230501505801266,1,1
"177","Porosira_pseudodelicatula.11","Strombidiidae_M_X_sp..8",0.136891528765188,0.533389199947943,0.633141249938208,0.067210281270995,0.760595689231471,0.827531192179954,0.112669246571514,NA,NA
"178","Fragilariopsis_sublineata.15","Strombidiidae_M_X_sp..8",0.393969352446861,0.0628728626461731,0.118260843129907,0.401384083044983,0.0576516457613631,0.133756185715284,-0.0788462760723202,0.86,1
"179","Strombidiidae_M_X_sp..8","Thalassiosira_tumida.10",0.423133959466139,0.04424632879611,0.0890012360841294,0.295600593178448,0.170865883247361,0.292304066437781,-0.110498137600282,0.98,1
"180","NA..12","Strombidiidae_M_X_sp..8",0.266535217720709,0.218935638283908,0.318316620200222,0.0757990489057034,0.731040067501205,0.809696277295638,0.0446849753566837,0.84,1
"181","Stellarima_microtrias.4","Strombidiidae_M_X_sp..8",0.085001238078023,0.699779986709357,0.78214460193336,-0.0523844839318049,0.812362232629865,0.867605697446892,0.0214093536382694,1,1
"182","Rhizosolenia_pungens.14","Strombidiidae_M_X_sp..8",0.228317279023527,0.294717270417126,0.401589161580622,0.123548311159917,0.574365805933847,0.688452164646734,-0.0342717102641154,0.84,1
"183","Strombidiidae_M_X_sp..8","Thalassiosira_tumida.6",0.287691547207118,0.183147644620492,0.27732452251688,0.169055857637172,0.440632567483122,0.57484014394763,-0.00322267965588988,0.84,1
"184","Corethron_inerme.19","Strombidiidae_M_X_sp..8",0.0425426780488476,0.847165429434137,0.890835518614633,-0.324511590698186,0.130854269938023,0.243611672756958,-0.0295407807352598,0.96,1
"185","Corethron_inerme.17","Strombidiidae_M_X_sp..8",-0.0504077109532462,0.819327279408462,0.869736496772414,-0.19471213838803,0.373307036781561,0.511730777261235,0.0691387236631617,0.82,1
"186","Polar.centric.Mediophyceae.5","Strombidiidae_M_X_sp..8",0.0781018289668809,0.723176324610722,0.802437497869687,0.00247157686604053,0.991070087454729,0.99431683630798,0.0256982483281716,0.94,1
"187","Pentapharsodinium_dalei.4","Strombidiidae_M_X_sp..8",0.577787448170282,0.00388479473282458,0.0118971838692753,0.82954125431868,9.89043963318104e-07,1.37679415348259e-05,-0.033242549451379,0.98,1
"188","Planktoniella_sol.2","Strombidiidae_M_X_sp..8",0.697800861431212,0.000214126929108211,0.00102064392279205,0.736347934513107,6.17739267760597e-05,0.00053668837092676,-0.00643078929441534,0.98,1
"189","Cryptophyceae.4","Strombidiidae_M_X_sp..8",0.64146283154229,0.00097069164934906,0.00360332506197757,0.819372399612571,1.73283702864563e-06,2.2582184681818e-05,0.00439721130794352,1,1
"190","Strombidiidae_M_X_sp..8","Strombidiidae_M_X_sp..8",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"191","Glaciecola.amylolytica.5","MAST.1C_XX_sp..5",0.173461828868524,0.428634762334355,0.535247282221799,-0.0973560691940148,0.658548448515425,0.750438929703624,0.124354903194865,0.9,1
"192","MAST.1C_XX_sp..5","Polaribacter.sp..L3A8.58",-0.0677044745156346,0.758885827736475,0.82487589971356,-0.393872015977816,0.0629437303842446,0.142789018001296,-0.128532553858809,0.92,1
"193","MAST.1C_XX_sp..5","Rhizosolenia_pungens.15",0.544241225902126,0.00725763942250628,0.0201144983994801,0.41769649036085,0.0473428049128414,0.115989872036462,-0.00253560266962125,0.92,1
"194","MAST.1C_XX_sp..5","Placidiales_XX_sp.",0.661641127039051,0.000585343600344845,0.00235870365270538,0.515323776569451,0.0118507552338367,0.0404378138201948,0.048286832890138,0.96,1
"195","MAST.1C_XX_sp..5","Pseudopedinella_elastica.4",0.585763717251606,0.00331567829003451,0.0104953640963625,0.452298566485418,0.0302406508069596,0.0836225671298545,-0.068785445760904,0.76,1
"196","MAST.1C_XX_sp..5","Porosira_pseudodelicatula.11",0.405238460604528,0.055072847704998,0.106578575732421,0.37262170645831,0.0799340759927479,0.170169728435838,-0.0190847348734645,0.84,1
"197","Fragilariopsis_sublineata.15","MAST.1C_XX_sp..5",0.58230350963915,0.00355327879788677,0.0110757418000287,0.593178447849728,0.00285129590806557,0.0122987235471138,-0.0601304114250937,0.9,1
"198","MAST.1C_XX_sp..5","Thalassiosira_tumida.10",0.67498764211567,0.000410278906427259,0.00175731349780906,0.531636183885319,0.00903365883599117,0.0319833296938994,-0.0973239667747987,0.96,1
"199","MAST.1C_XX_sp..5","NA..12",0.506813248565586,0.0135848082401038,0.0341012092092769,0.332425894220438,0.121187383489279,0.229096519713529,0.0179971779808007,0.98,1
"200","MAST.1C_XX_sp..5","Stellarima_microtrias.4",0.245119849341276,0.259614924228363,0.36263202072947,0.0889547840351404,0.686489755917802,0.771596473480215,-0.027449249838868,0.9,1
"201","MAST.1C_XX_sp..5","Rhizosolenia_pungens.14",0.28317272917853,0.190430308021148,0.28517986225661,0.132937982808071,0.545386262514147,0.663453993624459,-0.0010449412893686,0.94,1
"202","MAST.1C_XX_sp..5","Thalassiosira_tumida.6",0.33292140385566,0.12059986234541,0.199103546324969,0.0773603559070687,0.725705462454697,0.804515105436203,0.0650941646270737,0.9,1
"203","Corethron_inerme.19","MAST.1C_XX_sp..5",0.206777202609515,0.343815990521216,0.454341519297184,-0.148404690868073,0.499173426936572,0.623364954888976,-0.0648501889922952,0.96,1
"204","Corethron_inerme.17","MAST.1C_XX_sp..5",0.182357307272038,0.404957146442507,0.514064771390747,-0.0291574014337405,0.894934029988811,0.933016329137271,-0.0553056117721535,0.56,1
"205","MAST.1C_XX_sp..5","Polar.centric.Mediophyceae.5",0.204646564508156,0.348920993844354,0.458773905354351,0.0830449826989619,0.706388060976758,0.788888249759769,0.00145117077656059,0.88,1
"206","MAST.1C_XX_sp..5","Pentapharsodinium_dalei.4",0.417263239101403,0.0475966016314837,0.0948062390220611,0.655556940762658,0.000684406855646549,0.00391774952414497,0.040713561468177,0.98,1
"207","MAST.1C_XX_sp..5","Planktoniella_sol.2",0.802569829294822,4.07354392068188e-06,3.13842220304107e-05,0.719545364195358,0.000108844265194599,0.00087719884778542,-0.0326361255138608,0.86,1
"208","Cryptophyceae.4","MAST.1C_XX_sp..5",0.501606143309264,0.0147443828573334,0.0364886242428957,0.677044745156346,0.000387799358750033,0.00250028533930942,-0.0477475151152066,0.9,1
"209","MAST.1C_XX_sp..5","Strombidiidae_M_X_sp..8",0.782501235788433,1.02329646077259e-05,7.28801258399084e-05,0.729115175481957,7.9226596144452e-05,0.00066932813984106,-0.0711648143989942,0.94,1
"210","MAST.1C_XX_sp..5","MAST.1C_XX_sp..5",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"211","Glaciecola.amylolytica.5","MAST.1A_XX_sp..9",0.224308300395257,0.303507458402197,0.409919114159527,0.114624505928854,0.602516003035767,0.711061756954542,-0.0375488006818672,0.64,1
"212","MAST.1A_XX_sp..9","Polaribacter.sp..L3A8.58",-0.0721343873517787,0.743608369995287,0.815506045876658,-0.223320158102767,0.305698608362499,0.445810470528644,-0.0331854382068052,0.9,1
"213","MAST.1A_XX_sp..9","Rhizosolenia_pungens.15",0.527304192030527,0.00972126070727856,0.02583198344125,0.298986913007,0.165786305604557,0.285637446365095,0.0122038494541946,0.88,1
"214","MAST.1A_XX_sp..9","Placidiales_XX_sp.",0.6864344168045,0.000298169271773835,0.00135280502934425,0.624166067979902,0.00145702354930648,0.00708275336468428,0.106975171765172,0.82,1
