MassFeature_Column,20ppt3C_A,20ppt3C_B,20ppt3C_C,35ppt0C_A,35ppt0C_B,35ppt0C_C,50ppt-3C_A,50ppt-3C_B,50ppt-3C_C,Ev15SW_A,Ev32Core_A,Ev32Core_B,Ev32Core_C,Ev37Core_A,Ev51Slush_A,EvXCore_A,EvXSW_A,Hero1_A,Hero1_B,Hero1_C,StaB1_A,StaB1_B,StaB1_C,StaB1_D,StaB1_E,StaB2_A,StaB2_B,StaB2_C,StaB3_A,StaB3_B,StaB3_C,StaB4_A,StaB4_B,StaB4_C,StaB5_A,StaB5_B,StaB5_C
Inosine_X_HILICNeg,73151180,48999877.41935484,23112476.666666668,23592940.322580647,59683419.35483871,86208215.38461538,43283054.54545455,28094491.379310347,64823352,1849770.8333333333,192875328,22436322,8042822,NA,2904445,81300606.4516129,2537647.7386934673,595699.3103448276,1467779.185520362,1185480.3921568627,10187432.903225806,8977056.96969697,8893321.333333334,2189212.698412698,5023620.866141732,12036786.666666666,14722240,13356682.105263159,22171187.27272727,32742366.666666668,35577252.50596658,41771227.16981132,21980618.86792453,47397907.317073174,54682342.307692304,80484730.43478261,69999696
Isethionic Acid_X_HILICNeg,5813370556.150845,5624985322.561051,4307051897.903542,7229340193.3832865,4854447706.7703905,4641745782.033846,2863684231.8519645,2818573306.2614946,3241408318.1053867,553356345.3594214,5701399185.579808,2778329574.135073,1911579308.4191587,NA,50848573.107667305,2636518557.3856688,402020605.210134,15954617.61526365,41562967.70048859,46131138.9888706,532450045.7441057,471111803.52588737,546709931.8813329,401808565.3973012,503920194.19288653,570583291.4832854,435434190.31151545,573653736.6472207,562993769.7852507,573899335.254947,541748930.6919374,805531054.6032087,766402399.5042537,801907187.0672817,814895421.378245,813220375.791532,869393153.8669934
Isobutyryl-L-carnitine_X_RP,14213484.27709497,10755294.44759657,10882033.66968408,9729508.500718538,9328017.023905331,8992100.048161428,3050836.300192857,2486316.878709409,4214442.534854067,969495.1278098072,62250763.939202935,12768399.93937058,17471109.99969998,NA,79101190.51378661,33773218.82777958,2900779.7551043867,2499993.2028680104,2896778.634772294,2324180.168397635,1293004.0624204644,2051045.6612819831,2738017.809894063,1683555.7128941806,2999292.8782680295,2354761.736912823,1155284.4830319835,1838314.7061122453,1416959.1985625918,2221302.5057177665,1783333.939668778,4101427.1089766775,3035448.07354277,4200128.897643863,4017342.454881766,4186136.7169125057,3786683.734327
Ketoglutaric Acid_X_HILICNeg,20989534.609706268,53942479.238449104,18391020.839762524,21819920.431284707,13421838.380887605,21321059.19585832,10385661.54847504,8363022.86005464,13411895.413007397,3465274.0129622174,104971521.65037695,22133848.955873936,12598267.728405342,NA,12477809.939307323,43549913.5850123,1535602.3840131133,2186691.4870893867,2209619.9534834875,2279434.1830519726,6654724.376187142,6732668.872537764,9446319.443980502,4355558.636821807,6268615.212283517,9881756.930689804,10549826.537002971,18976434.047514904,12177131.932136627,15110414.578023506,17919626.046767816,32529409.611419085,30587664.522146042,26443927.08758215,17924384.14115887,10741880.14210767,23190663.653671864
Kynurenine_X_RP,1271413.0049521062,762735.1392590214,1168916.3923210574,1283886.318241253,1784900.882724226,1989031.3590920193,995572.5117667792,601917.675590758,840650.0224080546,143302.9137924875,11694976.773544032,918379.7435079598,1184996.6479314282,NA,3803198.0843755985,1771253.5832653146,346677.30108106567,921010.6035867006,390964.4559534311,367846.8906753245,127745.97821667661,217474.822677472,239540.87478584037,207274.5955157175,261941.06095058328,339347.7041040694,157320.2213104713,247632.00220556516,153705.08110615014,280362.4129866875,183035.78030933233,424383.17220599955,325644.37179491745,349432.3996561164,564727.3971807425,450752.22409960814,300335.45456403383
L-Pyroglutamic acid_X_HILICNeg,503197089.5250314,200758805.8524607,207289582.01662374,213270913.37143213,241842171.8402939,354339968.3647395,147365974.63972774,53117881.45731461,215616723.74236572,27387625.04832528,1188425336.1046755,176318580.3449564,129284779.22454089,NA,224740913.5473067,820433100.946805,10452330.254136391,29660839.91913009,37658378.50915771,48820723.014224395,137522643.55265722,88481655.27142285,82077368.43224171,26998543.174735125,32776967.690091457,56210018.38167786,41373299.79031429,53877177.19739626,72767153.97536567,90206893.38486998,87592758.44649975,143640561.15443558,71901675.77966939,152702418.89968574,105027206.2757109,196004169.25887582,154865028.6666054
Leucine_X_HILICPos,66085877.49718777,76000678.46159118,94262576.00108837,1157392698.207759,1107520913.2335079,1276791618.8104005,140413342.8884352,123849697.3470994,123057227.93046372,34226911.28309838,4242965737.558952,221274382.27444756,228525687.69861192,NA,687594359.513345,1324686344.9251308,63554590.482529335,86912240.8171579,59883606.30431062,48195153.64290564,17303599.351377707,18471180.97835576,17768100.838353056,24370946.22073237,21391507.440603994,27189974.739493873,20782414.3834637,34001707.93568492,27929799.792747464,33277061.008300055,32196806.295607004,242272591.6058241,67868284.91957599,231067575.94223407,562057553.7394861,74696531.08699088,502719478.89485
Lysine_X_HILICPos,158122653.33333334,329372774.1935484,233425386.6666667,389581212.9032258,151593109.67741936,282681230.7692308,41281986.36363637,82940793.10344829,61562928,6921630,228558544,40013064,61329652,NA,9879455,77764625.80645162,992910.0502512563,4333813.793103448,2843452.488687783,3080406.862745098,17107571.612903226,5709032.7272727275,7269214,1424950.1133786847,1237013.779527559,6940784.888888889,5386479.636363637,19006113.684210528,23308476.363636363,10025215.68627451,33207725.059665866,15620916.226415094,32584624.90566038,17256417.073170733,1816792.3076923077,17404732.173913043,35540192
Methionine Sulfoxide_X_HILICPos,296065963.575465,181396674.6083904,251598469.00113982,362274409.5520241,202395808.78245533,478283938.4689657,51187356.33615576,48907024.938979395,61518089.60579725,1533954.0119883462,176700655.4398432,35538309.47229085,24748403.24461115,NA,53952637.59463094,37854924.332240894,3783099.9359682654,2008526.7124974616,2816671.277547821,2498453.9488133453,8209038.572090415,6268177.241144534,5025336.183306557,2098519.291699956,4241016.069341541,6453490.289829893,4718008.843989833,8237246.9036998525,7556494.73583987,10157560.252375614,8369446.32110262,12239091.412806837,14064886.23476073,17446950.60486537,14816899.575083291,25515541.596677713,33178968.745833635
Methionine_X_HILICPos,423846186.2228082,367809259.48766315,272970531.8687834,373145626.30635154,394036057.0201689,509369543.66451097,167921892.69551873,134491843.83455074,246133561.66660443,10472806.64426887,946333063.7059699,117188929.78618057,60150605.198397756,NA,58922733.40433415,393053610.69016916,5158566.208739424,1718545.4409886573,7597348.998615953,5214929.157522588,14971054.055516236,18788613.083265744,21347611.15894718,4659584.125392519,6326861.895528052,23573817.71732568,12675267.966453718,17182263.490863442,9562088.889343312,19119026.700016975,24783322.524453986,31231235.853755098,16061979.845445294,32921453.588854726,14249935.956626847,30600670.055299282,16365566.95714583
