,VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
725,Aureococcus_anophagefferens.4,Flavobacteriaceae.14,-0.25226877,0.163644221,0.256375946,-0.241635348,0.182743221,0.272664489,0.033422015,0.82,1
617,Aureococcus_anophagefferens.4,Pseudopedinella_elastica.4,-0.085792851,0.640591983,0.73646097,-0.230064161,0.205250363,0.299511526,0.037918783,0.72,1
652,Aureococcus_anophagefferens.4,Rhizosolenia_pungens.14,-0.164787829,0.3674414,0.485332434,-0.213179361,0.241409201,0.341240074,0.091951483,NA,NA
232,Aureococcus_anophagefferens.4,Raphid.pennate_X_sp..15,0.145581227,0.426604271,0.545848868,0.178034473,0.329627914,0.434369494,0.024057869,0.94,1
688,Aureococcus_anophagefferens.4,Marinomonas.5,0.03207772,0.8616422,0.905808389,-0.08175236,0.656458796,0.73827071,0.047611001,0.96,1
842,Aureococcus_anophagefferens.4,Thalassiosira_tumida.12,0.129055912,0.481459439,0.598112607,0.079560037,0.665130449,0.745051784,-0.064539728,0.8,1
583,Aureococcus_anophagefferens.4,Rhizosolenia_pungens.15,0.087626031,0.633443732,0.73359808,-0.073143905,0.690751043,0.767652391,-0.007546545,0.82,1
1012,Aureococcus_anophagefferens.4,Glaciecola.amylolytica.5,0.041792686,0.820339624,0.879621072,0.026395381,0.885975107,0.924353874,0.006208595,0.94,1
550,Aureococcus_anophagefferens.4,Cryptophyceae.4,0.043992302,0.811049312,0.873795247,0.022912657,0.900940857,0.934922987,0.037592856,0.9,1
968,Aureococcus_anophagefferens.4,NA..164,-0.282084852,0.117774502,0.201652851,NA,NA,NA,-0.054808472,0.78,1
120,Candidatus.Pelagibacter.6,Candidatus.Pelagibacter.6,1,0,0,1,0,0,1,1,1
151,Candidatus.Pelagibacter.6,Candidatus.Thioglobus.sp..NP1.1,0.913127701,3.21E-13,6.70E-12,0.909091372,6.16E-13,7.24E-12,-0.071871712,0.9,1
119,Candidatus.Pelagibacter.6,Pseudohongiella.spirulinae.2,0.799284262,4.12E-08,4.56E-07,0.902624953,1.65E-12,1.90E-11,-0.018739904,0.84,1
135,Candidatus.Pelagibacter.6,Candidatus.Pelagibacter.sp..FZCC0015.3,0.923394884,5.21E-14,1.15E-12,0.858807701,3.21E-10,3.45E-09,-0.036745514,0.68,1
1050,Candidatus.Pelagibacter.6,Chaetoceros_neogracilis.2,-0.421584009,0.016253097,0.040029462,-0.831421664,3.78E-09,3.78E-08,0.012140744,0.9,1
108,Candidatus.Pelagibacter.6,NA..12,0.806262055,2.55E-08,2.93E-07,0.827931323,5.02E-09,4.88E-08,0.002824307,0.92,1
118,Candidatus.Pelagibacter.6,Planktomarina.temperata.RCA23.7,0.877502296,4.35E-11,7.66E-10,0.826446281,5.65E-09,5.40E-08,0.018826301,0.8,1
109,Candidatus.Pelagibacter.6,Placidiales_XX_sp.,0.809475717,2.03E-08,2.46E-07,0.808741166,2.14E-08,1.88E-07,0.079317887,0.98,1
117,Candidatus.Pelagibacter.6,Marinomonas.10,0.827339798,5.26E-09,6.75E-08,0.772293903,2.25E-07,1.77E-06,-0.076777899,0.72,1
114,Candidatus.Pelagibacter.6,Thalassiosira_tumida.6,0.719424046,3.49E-06,2.68E-05,0.719424046,3.49E-06,2.43E-05,0.105669767,NA,NA
186,Candidatus.Pelagibacter.6,Dinoflagellata.6,0.526557465,0.001962064,0.006759388,0.630768141,0.000108797,0.000531267,-0.016134232,0.84,1
480,Candidatus.Pelagibacter.6,Polaribacter.sp..L3A8.14,-0.486194175,0.004782084,0.014461638,-0.622328544,0.000142929,0.00068315,-0.028234155,0.98,1
113,Candidatus.Pelagibacter.6,Porosira_pseudodelicatula.11,0.647463865,6.19E-05,0.000335651,0.61278813,0.000192762,0.000883884,-0.067491293,0.94,1
225,Candidatus.Pelagibacter.6,MAST.1C_XX_sp..5,0.548250852,0.001159903,0.004375823,0.612524105,0.000194338,0.000887502,0.006008491,0.88,1
110,Candidatus.Pelagibacter.6,Thalassiosira_tumida.10,0.765232862,3.38E-07,3.15E-06,0.610621773,0.000206034,0.000925921,0.024509591,1,1
