Compound,Rep,nmol.conc,rel_PA,umol.C,umol.N,C,N,umol.conc,Adjusted_Area,calc.blk.area.ratio,blank.area,Compound_Type,mgCtotal,umolCtotal,mgNtotal,umolNtotal,umol.conc.perumolC,relPA.perumolC,ratio.C,ratio.N,percent.C,percent.N,Ni.C,Ni.N,Nt_carbon,molfractionC,Nt_nitro,molfractionN
Trigonelline,Smp_Orange_B,2.06494665685216,3111291400,0.01445462659796512,0.00206494665685216,7,1,0.00206494665685216,31112914,3.0859284625590733,10082189,Osmolyte,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,3.423300854580635e-6,5157947.530085728,2.3963105982064444e-5,5.803581911604276e-5,0.0023963105982064445,0.005803581911604276,14.45462659796512,2.06494665685216,776986.0717885544,1.860345651330895e-5,152008.04926532894,1.3584455999746507e-5
Trigonelline,Smp_Orange_C,2.736237297554762,4122736800,0.01915366108288333,0.0027362372975547602,7,1,0.0027362372975547624,41227368,4.089128660452606,10082189,Osmolyte,2.202364003,183.3622515,0.1492131719,10.652985492657084,1.4922576894485625e-5,22484108.73161644,1.0445803826139935e-4,2.568516872045682e-4,0.010445803826139934,0.02568516872045682,19.153661082883335,2.736237297554762,244299.84644329475,7.840226411001513e-5,55194.32460057564,4.9574613284174967e-05
Trigonelline,Smp_Pink_A,17.13485300009779,25817384000,0.11994397100068456,0.01713485300009779,7,1,0.017134853000097792,258173840,49.72649390576857,5191877,Osmolyte,0.798187087,66.45467376,0.03668128535,2.6188385094276314,2.578427073764599e-4,388496136.3776921,0.0018048989516352197,0.006542920817153689,0.18048989516352199,0.6542920817153689,119.94397100068454,17.13485300009779,80030.39143966713,0.0014987302803723913,21047.587903361855,8.141005553116566e-4
Trigonelline,Smp_Pink_B,15.172801407015324,22861126400,0.10620960984910728,0.01517280140701532,7,1,0.015172801407015324,228611264,44.03248844300433,5191877,Osmolyte,3.269362387,272.1973513,0.1254902336,8.9593004490708,5.57419142197778e-5,83987321.29764116,3.901933995384447e-4,0.0016935252359562229,0.03901933995384447,0.16935252359562228,106.20960984910727,15.172801407015324,173876.23609866985,6.108345351393293e-4,36214.86961705742,4.1896606469815493e-4
Trigonelline,Smp_Pink_C,13.652632231169282,20570660800,0.09556842561818496,0.01365263223116928,7,1,0.013652632231169281,205706608,39.62085542473368,5191877,Osmolyte,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,1.0142971663869765e-4,152825935.73796642,7.100080164708835e-4,0.002635093896441424,0.07100080164708836,0.2635093896441424,95.56842561818497,13.652632231169282,139379.40062563264,6.85671090485443e-4,33583.78499839547,4.0652452461274275e-4
Turicine,Smp_Orange_A,0.5190720015715149,568456586.2068965,0.0036335040110006,5.190720015715149e-4,7,1,5.190720015715149e-4,16485241,42.40216521812939,388783,Betaine,15.13934563,1260.456717,1.05717892675,75.47665950937765,4.1181263471462376e-7,450992.5478122519,2.882688443002363e-6,6.877251920602321e-6,2.882688443002363e-4,6.877251920602321e-4,3.6335040110006043,0.5190720015715149,497937.8795977986,7.297103032080045e-6,88455.57226356486,5.868166225016017e-6
Turicine,Smp_Orange_B,0.8997220182170574,985321700,0.0062980541275194,8.997220182170575e-4,7,1,8.997220182170575e-4,9853217,25.343744453847005,388783,Betaine,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,1.4915732295684093e-6,1633481.7204376517,1.0441012606978862e-5,2.5286902269700853e-5,0.0010441012606978862,0.002528690226970085,6.298054127519402,0.8997220182170574,776986.0717885544,8.10574906834794e-6,152008.04926532894,5.9189103640597295e-6
Turicine,Smp_Orange_C,0.3481317914580686,381253100,0.00243692254020648,3.4813179145806863e-4,7,1,3.4813179145806863e-4,3812531,9.80632126404704,388783,Betaine,2.202364003,183.3622515,0.1492131719,10.652985492657084,1.8986012039564676e-6,2079234.3946540162,1.329020842769527e-5,3.267927021002983e-5,0.0013290208427695271,0.003267927021002983,2.4369225402064805,0.3481317914580686,244299.84644329475,9.975129234361277e-6,55194.32460057564,6.307383847476917e-6
Turicine,Smp_Pink_B,0.2173425031002901,238020500,0.00152139752170203,2.173425031002901e-4,7,1,2.173425031002901e-4,2380205,9.81394284489121,242533,Betaine,3.269362387,272.1973513,0.1254902336,8.9593004490708,7.984739824332381e-7,874440.9115784075,5.589317877032664e-6,2.4258869800803638e-5,5.589317877032664e-4,0.002425886980080364,1.5213975217020308,0.2173425031002901,173876.23609866985,8.749887597283165e-6,36214.86961705742,6.001471367935576e-6
Turicine,Smp_Pink_C,0.1713137822042786,187612600,0.00119919647542995,1.713137822042786e-4,7,1,1.713137822042786e-4,1876126,7.73554938915529,242533,Betaine,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,1.2727441925530684e-6,1393833.257472837,8.909209347871477e-6,3.306526494079065e-5,8.909209347871477e-4,0.003306526494079065,1.1991964754299502,0.1713137822042786,139379.40062563264,8.603828614896565e-6,33583.78499839547,5.10108620015473e-6
UDP-glucose,Smp_Orange_A,60.85007621956149,1379068689.6551723,0.9127511432934224,0.12170015243912298,15,2,0.06085007621956149,39992992,Inf,0,Nucleotide sugar,15.13934563,1260.456717,1.05717892675,75.47665950937765,4.827621242274001e-5,1094102.3765873369,7.241431863411002e-4,0.0016124210216802487,0.07241431863411002,0.16124210216802487,912.7511432934223,121.70015243912297,497937.8795977986,0.0018330622768259416,88455.57226356486,0.0013758336453525118
UDP-glucose,Smp_Orange_B,79.67474495203753,1805699400,1.1951211742805627,0.15934948990407505,15,2,0.07967474495203752,18056994,Inf,0,Nucleotide sugar,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,1.320860379505347e-4,2993516.698663224,0.00198129056925802,0.004478555483076912,0.19812905692580202,0.4478555483076912,1195.1211742805629,159.34948990407506,776986.0717885544,0.0015381500617243984,152008.04926532894,0.0010482963940016865
UDP-glucose,Smp_Orange_C,14.53040239042006,329308100,0.2179560358563009,0.02906080478084011,15,2,0.014530402390420059,3293081,Inf,0,Nucleotide sugar,2.202364003,183.3622515,0.1492131719,10.652985492657084,7.924424068505757e-5,1795942.7161593288,0.0011886636102758637,0.0027279493434841542,0.11886636102758637,0.2727949343484154,217.9560358563009,29.06080478084012,244299.84644329475,8.921660779958426e-4,55194.32460057564,5.265179887813509e-4
UDP-glucose,Smp_Pink_A,12.037195810109734,272803600,0.18055793715164603,0.02407439162021947,15,2,0.012037195810109735,2728036,Inf,0,Nucleotide sugar,0.798187087,66.45467376,0.03668128535,2.6188385094276314,1.8113392375654233e-4,4105107.8060397357,0.002717008856348135,0.009192774404971281,0.27170088563481354,0.9192774404971281,180.55793715164603,24.07439162021947,80030.39143966713,0.002256117131299602,21047.587903361855,0.001143807629204587
UDP-glucose,Smp_Pink_B,21.59583421979151,489434700,0.32393751329687265,0.04319166843958302,15,2,0.02159583421979151,4894347,Inf,0,Nucleotide sugar,3.269362387,272.1973513,0.1254902336,8.9593004490708,7.933888451394167e-5,1798087.6656678915,0.001190083267709125,0.004820875099022109,0.1190083267709125,0.4820875099022109,323.9375132968726,43.19166843958302,173876.23609866985,0.001863034998716255,36214.86961705742,0.001192650115720408
UDP-glucose,Smp_Pink_C,26.548307172082296,601674500,0.39822460758123446,0.05309661434416459,15,2,0.026548307172082296,6016745,Inf,0,Nucleotide sugar,1.61670338,134.6018966,0.07256983295000001,5.181079979581201,1.97235758504775e-4,4470029.882179238,0.0029585363775716253,0.010248175004713308,0.29585363775716256,1.0248175004713307,398.22460758123447,53.09661434416459,139379.40062563264,0.002857126704475143,33583.78499839547,0.0015810193623708995
Uracil,Smp_Orange_A,38.08447071534817,2900877482.958983,0.15233788286139266,0.07616894143069633,4,2,0.038084470715348165,84125447.00581051,42.18598521059264,1994156.2721803435,Nucleic Acid,15.13934563,1260.456717,1.05717892675,75.47665950937765,3.0214818328702804e-5,2301449.5014658906,1.2085927331481122e-4,0.0010091721324952472,0.012085927331481122,0.10091721324952473,152.33788286139267,76.16894143069634,497937.8795977986,3.0593752575008187e-4,88455.57226356486,8.610982833703353e-4
Uracil,Smp_Orange_B,61.16593306875978,4658982378.658466,0.2446637322750391,0.12233186613751956,4,2,0.061165933068759774,46589823.78658466,23.363175913813876,1994156.2721803435,Nucleic Acid,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,1.0140184021252346e-4,7723733.833711097,4.0560736085009383e-4,0.0034381663234380297,0.04056073608500938,0.343816632343803,244.6637322750391,122.33186613751955,776986.0717885544,3.148881828883296e-4,152008.04926532894,8.047722915251033e-4
Uracil,Smp_Orange_C,25.107896190458103,1912457475.0626328,0.1004315847618324,0.0502157923809162,4,2,0.025107896190458102,19124574.75062633,9.590308952926824,1994156.2721803435,Nucleic Acid,2.202364003,183.3622515,0.1492131719,10.652985492657084,1.3693056223438714e-4,10429941.05612099,5.477222489375486e-4,0.004713776472851584,0.054772224893754856,0.47137764728515835,100.43158476183241,50.215792380916206,244299.84644329475,4.1109966389251876e-4,55194.32460057564,9.097999249798319e-4
Uracil,Smp_Pink_B,7.233132534034016,550944542.6211828,0.02893253013613606,0.01446626506806803,4,2,0.0072331325340340155,5509445.426211828,3.0553382698739786,1803219.460357518,Nucleic Acid,3.269362387,272.1973513,0.1254902336,8.9593004490708,2.6573118729807478e-5,2024062.835255013,1.062924749192299e-4,0.001614664576805031,0.01062924749192299,0.1614664576805031,28.932530136136062,14.466265068068031,173876.23609866985,1.66397265004734e-4,36214.86961705742,3.994565000795788e-4
Uridine,Smp_Orange_A,185.77567196193937,9120263724.13793,1.6719810476574544,0.37155134392387873,9,2,0.18577567196193936,264487648,549.2617286873382,481533,Nucleoside,15.13934563,1260.456717,1.05717892675,75.47665950937765,1.4738758535406287e-4,7235681.797820853,0.0013264882681865659,0.0049227316939976,0.13264882681865658,0.49227316939976,1671.9810476574544,371.55134392387873,497937.8795977986,0.003357810514452065,88455.57226356486,0.004200428920597487
Uridine,Smp_Orange_B,327.61123646368867,16083380800,2.948501128173198,0.6552224729273773,9,2,0.32761123646368867,160833808,334.00370898775367,481533,Nucleoside,7.245075835,603.2033831,0.49836616040000004,35.580555048655285,5.431190302349096e-4,26663280.164882086,0.004888071272114187,0.018415184137273333,0.4888071272114187,1.8415184137273333,2948.501128173198,655.2224729273773,776986.0717885544,0.003794792770719821,152008.04926532894,0.004310445901346259
Uridine,Smp_Orange_C,149.8189234564318,7355043200,1.3483703111078862,0.2996378469128636,9,2,0.1498189234564318,73550432,152.7422461181269,481533,Nucleoside,2.202364003,183.3622515,0.1492131719,10.652985492657084,8.170652477859206e-4,40112090.35574042,0.007353587230073285,0.028127124280737895,0.7353587230073285,2.8127124280737896,1348.3703111078862,299.6378469128636,244299.84644329475,0.00551932525025496,55194.32460057564,0.005428780025505351
