"","List.of.MFs","list.of.pvals","list.of.qvals","Sig"
"45","Cytidine",0.416998460294263,0.453990259191335,FALSE
"46","Cytosine",0.178515189447397,0.218095480320349,FALSE
"47","Deoxyadenosine",0.107256515276284,0.142656448889639,FALSE
"48","Desthiobiotin",5.54598385018514e-05,0.000327259074463859,TRUE
"49","DHAP",0.0315757702985617,0.0504464969266962,FALSE
"50","DHPS",0.226134061234598,0.271360873481518,FALSE
"51","Dimethylsulfonioacetate (DMS-Ac)",5.79388966708939e-05,0.000327259074463859,TRUE
"52","DMSP",1.35077793197006e-08,7.2942008326383e-07,TRUE
"53","Ectoine",0.00215076311269626,0.00638138505964825,TRUE
"54","Ethyl Dihydroxybenzoate",0.019494504602956,0.0358062329442048,TRUE
"55","FAD",0.018964483139711,0.0353131755015308,TRUE
"56","Fructose 6 phosphate",0.343298223231827,0.386210501135805,FALSE
"57","Gluconic Acid",0.025546972421466,0.042317070882183,TRUE
"58","Glucose 1 phosphate",0.345093632545912,0.386619422354341,FALSE
"59","Glucose 6 phosphate",0.585477798662385,0.613987410084517,FALSE
"60","Glucosylglycerol",0.00981703228573203,0.0208708560405327,TRUE
"61","Glutamic acid",0.00449499772238792,0.0112177491105963,TRUE
"62","Glutamine",0.00709961130103123,0.015458831058697,TRUE
"63","Glutathione",0.309812478589897,0.355419142525714,FALSE
"64","Glutathione Disulfide",0.0626641334727972,0.0909640647185766,FALSE
"65","glycerol 3 phosphate",0.00161940524024273,0.00533218798616508,TRUE
"66","Glycerophosphocholine",0.000418510156172197,0.00168653346517154,TRUE
"67","Glycine",0.00585377413648774,0.0133942289563703,TRUE
"68","GMP",0.00425927692988962,0.01088286283803,TRUE
"69","Gonyol",0.0472793749190469,0.0717159057760823,FALSE
"70","Guanine",0.012815875396342,0.025631750792684,TRUE
"71","Guanosine",0.117788150096052,0.15363671751659,FALSE
"72","Histidine",0.0176527412937396,0.0333303506944733,TRUE
"73","Homarine",0.00115679495176783,0.00405629398671836,TRUE
"74","Homoserine",0.000211203144224406,0.00100043594632613,TRUE
"75","Hydroxo B12",0.0529570327708379,0.0785626310336606,FALSE
"76","Hypotaurine",3.64663468459956e-05,0.00024614784121047,TRUE
"77","Hypoxanthine",0.150156473779551,0.189449756637752,FALSE
"78","IAA",0.00535618944353016,0.0126857118399399,TRUE
"79","Indole 3 acetamide",0.0106060201380845,0.0218597361624642,TRUE
"80","Indole 3 methyl acetate",0.233251793272271,0.278663646829705,FALSE
"81","Inosine",0.329148245319045,0.371841113958753,FALSE
"82","Isethionic Acid",0.466543615600329,0.501859666183621,FALSE
"83","Isobutyryl-L-carnitine",0.00542733728269367,0.0127424440550199,TRUE
"84","Ketoglutaric Acid",0.43976387906206,0.476852398982957,FALSE
"85","Kynurenine",0.0834510391792146,0.11614319885767,FALSE
"86","L-Pyroglutamic acid",0.964020788013648,0.964020788013648,FALSE
"87","Leucine",3.85582361193895e-05,0.000253920091517931,TRUE
"88","Lysine",0.175122113793031,0.214922594200538,FALSE
"89","Methionine",0.52371499399013,0.556704914871398,FALSE
"90","Methionine Sulfoxide",0.0574234626560792,0.0842626897670728,FALSE
"91","Methylmalonyl carnitine",0.00519653896169788,0.0124165090235259,TRUE
"92","Methylthioadenosine",0.258393736204215,0.305992582347097,FALSE
"93","Muramic Acid",0.000672957090159973,0.00248901937456428,TRUE
"94","N-Acetyl-Serine",0.0221554190390453,0.0385933105841435,TRUE
"95","N-Acetylglucosamine",0.0224922995611825,0.0389289800097389,TRUE
"96","N-acetyltaurine",0.00180505510547757,0.00587186600577042,TRUE
"97","N(e)-Acetyl-Lysine",8.59246106580291e-05,0.000463992897553357,TRUE
"98","NAD",0.000215878000625375,0.00100494931325606,TRUE
"99","Ophthalmic Acid",0.00218514550204302,0.00641292701686539,TRUE
"100","Ornithine",0.218209632041408,0.26302053862134,FALSE
"101","Orotic Acid",0.173340480954723,0.213707442272946,FALSE
"102","PEP",0.0239380365469702,0.0411673239979742,TRUE
"103","Phenylalanine",0.0757594105264697,0.106536671052848,FALSE
"104","Phosphoglyceric Acid",0.0733869261914128,0.104374141473877,FALSE
"105","Proline",4.29906751167102e-05,0.00027636862575028,TRUE
"106","Propionyl-L-carnitine",0.0202990460461432,0.0362977359304969,TRUE
"107","Propionylglycine",0.0242948483973494,0.0414322438107799,TRUE
"108","Pyridoxal",0.0420425943795088,0.0652385085199275,FALSE
"109","Resorcylic Acid",0.0734484699260619,0.104374141473877,FALSE
"110","Ribose 5 phosphate",0.155704573281361,0.194630716601701,FALSE
"111","RP B12",0.109980963096619,0.145563039392583,FALSE
"112","Serine",9.06281217363462e-06,8.43779064441844e-05,TRUE
"113","Stachydrine hydrochloride",0.00120873762310936,0.00418409177230163,TRUE
"114","Sulfurol",0.589954326920825,0.615010302195454,FALSE
"115","Taurine",8.12073859357547e-06,7.83071221523349e-05,TRUE
"116","Thiamine monophosphate",0.254335469398931,0.302513553910622,FALSE
"117","Threonic acid",0.00342434828720814,0.00933913169238584,TRUE
"118","Threonine",0.0212217186455697,0.037450091727476,TRUE
"119","trans Hydroxyl proline",0.0243989880219037,0.0414322438107799,TRUE
"120","Trigonelline",0.000145441462037602,0.000727207310188009,TRUE
"121","Trimethyl-L-lysine",0.923577212344274,0.930469579600575,FALSE
"122","Trimethylamine N-oxide",0.00975441909836186,0.0208708560405327,TRUE
"123","Trimethylammonium Propionate (TMAP)",0.100326767840949,0.134100135232951,FALSE
"124","Tryptophan",0.586699080747428,0.613987410084517,FALSE
"125","Turicine",3.17131875303024e-05,0.000219552836748247,TRUE
"126","Tyrosine",0.931038066037158,0.934499174089341,FALSE
"127","UDP-glucosamine",0.025061115942143,0.0417685265702383,TRUE
"128","UDP-glucose",0.0431911612476757,0.066637791639271,FALSE
"129","Uridine",0.116967649927387,0.153307113982498,FALSE
"130","Vitamin B1",0.3639781571814,0.404420174646,FALSE
"131","Vitamin B2",0.0388104117122575,0.0612795974404065,FALSE
"132","Vitamin B3",0.0160310402309353,0.0306977366124292,TRUE
"133","Vitamin B5",0.399500797355944,0.438025638003288,FALSE
"134","Vitamin B6",0.00290555027944738,0.008177628267379,TRUE
"135","Xanthine",0.0144445394547338,0.0282610554549139,TRUE
"136","(3-Carboxypropyl)trimethylammonium (TMAB)",0.00457019408209479,0.0112177491105963,TRUE
"137","3OC12-HSL",0.275248886756926,0.321719478027575,FALSE
"138","3OC8-HSL",7.23112741603261e-08,2.78914914618401e-06,TRUE
"139","3OHC12-HSL",9.36366166923372e-07,1.31410154401582e-05,TRUE
"140","4-Hydroxyisoleucine",1.09142387273157e-05,9.50594985927498e-05,TRUE
"141","6-Methyladenine",0.640681595263721,0.662222452664195,FALSE
"142","7-dehydrocholesterol",5.30456888349623e-05,0.000325507636032723,TRUE
"143","Acetyl-L-carnitine",0.00655889501948753,0.0145128587562322,TRUE
"144","Acetylglutamic acid",0.444903061533144,0.480495306455796,FALSE
"145","Aconitic Acid",0.138692955176002,0.176637254233588,FALSE
"146","Adenine",1.66679774891326e-05,0.000128581540630452,TRUE
"147","Adenosine",0.0669595218929286,0.0966795235887204,FALSE
"148","Adenosyl Homocysteine",0.033650329560435,0.0534446410665732,FALSE
"149","Adenosyl Methionine",0.0103708105687571,0.0216788465855666,TRUE
"150","ADP",0.706580200826386,0.71991190272877,FALSE
"151","Agmatine",0.00427253133641176,0.01088286283803,TRUE
"152","Alanine",5.81793910157972e-05,0.000327259074463859,TRUE
"153","Amino Propanesulfonic Acid",2.56786369944569e-08,1.15553866475056e-06,TRUE
"154","AMP",0.000129129817743859,0.000670481745977727,TRUE
"155","Anserine",1.60516017558738e-07,4.55931589315867e-06,TRUE
"156","Arginine",0.15240898185529,0.19139732605083,FALSE
"157","Argininosuccinic Acid",0.288633811544,0.335910039296896,FALSE
"158","Asparagine",6.92860231171784e-05,0.000381780127380371,TRUE
"159","Aspartic acid",0.0012758305066646,0.00436043337720814,TRUE
"160","beta-Alanine",2.02779712411606e-07,4.97732021373942e-06,TRUE
"161","beta-Glutamic acid",0.128540739924573,0.165266665617308,FALSE
"162","Betaine",0.00060311284286369,0.00229352771229854,TRUE
"163","Betonicine",0.0191413724261999,0.0353984284594107,TRUE
"164","Butyryl-L-carnitine",9.73408551122833e-07,1.31410154401582e-05,TRUE
"165","C14-HSL",0.00193188622970186,0.00613657978846473,TRUE
"166","cAMP",0.0496319417237979,0.0748638227118739,FALSE
"167","Carnitine",0.00826278376181132,0.0178476129255125,TRUE
"168","Carotene",0.0289803109290134,0.0471366503062267,TRUE
"169","cGMP",0.0864173658345462,0.119654814232449,FALSE
"170","Chitobiose",0.00212606892235455,0.00637820676706366,TRUE
"171","Choline",0.0214981136912258,0.0376914980300712,TRUE
"172","Citric Acid",0.123359834622135,0.15936437965539,FALSE
"173","Citrulline",0.565360719025285,0.59627888334698,FALSE
"174","Creatine",0.000407056632771378,0.00166523167951927,TRUE
"175","Cys-Gly",0.0133985089408679,0.0265999809855465,TRUE
"176","Cystathionine",0.00190828996093278,0.00613378916014108,TRUE
"177","Cysteic Acid",3.90190446060117e-06,4.21405681744926e-05,TRUE
"178","Cysteinesulfinic acid",0.00203181981667846,0.00623399261935436,TRUE
"179","Cystine",8.80563458643283e-07,1.31410154401582e-05,TRUE
"180","Cytidine",0.0125679808454268,0.0253235434945167,TRUE
"181","Cytosine",0.0405849509279423,0.0637089345961884,FALSE
"182","Deoxyadenosine",6.93909265332127e-06,7.07263209456076e-05,TRUE
"183","Desthiobiotin",1.68863551598469e-07,4.55931589315867e-06,TRUE
"184","DHAP",0.310662657911365,0.355419142525714,FALSE
"185","DHPS",0.00237650603825569,0.00689953365945199,TRUE
"186","Dimethylsulfonioacetate (DMS-Ac)",3.42542045843588e-07,7.70719603148074e-06,TRUE
"187","DMSP",0.000981337669365697,0.00358055636119916,TRUE
"188","Ectoine",0.131300624715822,0.168015017408872,FALSE
"189","Ethyl Dihydroxybenzoate",0.0202998449092779,0.0362977359304969,TRUE
